COD_ETU;Note : TLGE4204;RÃ©sultat : TLGE4204;Session : TLGE4204;AnnÃ©e : TLGE4204;Filière;Année;Module;Semestre
10010055;2.1;NRA;1;2014;GEGM;2015;TLGE4204;S4
10048488;1.75;NRA;1;2014;GEGM;2015;TLGE4204;S4
10048521;11.65;V  ;1;2014;GEGM;2015;TLGE4204;S4
10048609;12,125;V  ;1;2014;GEGM;2015;TLGE4204;S4
10048648;7;NV ;2;2014;GEGM;2015;TLGE4204;S4
10048680;1.2;NRA;1;2014;GEGM;2015;TLGE4204;S4
10048681;9,275;AC ;2;2014;GEGM;2015;TLGE4204;S4
10048683;5,775;NV ;2;2014;GEGM;2015;TLGE4204;S4
10048701;10.45;V  ;1;2014;GEGM;2015;TLGE4204;S4
10048707;0;NRA;1;2014;GEGM;2015;TLGE4204;S4
10048722;0;NRA;1;2014;GEGM;2015;TLGE4204;S4
10048732;11,625;V  ;1;2014;GEGM;2015;TLGE4204;S4
10048737;8.6;NV ;2;2014;GEGM;2015;TLGE4204;S4
10048752;0;NRA;1;2014;GEGM;2015;TLGE4204;S4
10048754;10,075;V  ;1;2014;GEGM;2015;TLGE4204;S4
11010738;5;NV ;2;2014;GEGM;2015;TLGE4204;S4
11011891;0;NRA;1;2014;GEGM;2015;TLGE4204;S4
11012531;5.1;NV ;2;2014;GEGM;2015;TLGE4204;S4
11012544;0;NRA;1;2014;GEGM;2015;TLGE4204;S4
11012552;;;;;GEGM;2015;TLGE4204;S4
11012553;7.55;NV ;2;2014;GEGM;2015;TLGE4204;S4
11012556;9;NV ;2;2014;GEGM;2015;TLGE4204;S4
11012941;5,125;NV ;2;2014;GEGM;2015;TLGE4204;S4
11013302;;;;;GEGM;2015;TLGE4204;S4
11013318;;;;;GEGM;2015;TLGE4204;S4
11013346;10,875;V  ;1;2014;GEGM;2015;TLGE4204;S4
11013349;5,125;NV ;2;2014;GEGM;2015;TLGE4204;S4
11013510;5.05;NV ;2;2014;GEGM;2015;TLGE4204;S4
11013773;10.5;V  ;1;2014;GEGM;2015;TLGE4204;S4
11013811;13,675;V  ;1;2014;GEGM;2015;TLGE4204;S4
