COD_ETU;Note : TLGE1104;RÃ©sultat : TLGE1104;Session : TLGE1104;AnnÃ©e : TLGE1104;Filiére;Année;module;Semestre
10010055;10;V ;1;2012;GEGM;2014;TLGE1104;S1
10048488;7;AC;2;2013;GEGM;2014;TLGE1104;S1
10048648;7.5;AC;1;2012;GEGM;2014;TLGE1104;S1
10048680;7;AC;2;2013;GEGM;2014;TLGE1104;S1
10048683;7;AC;2;2013;GEGM;2014;TLGE1104;S1
10048707;7;AC;2;2013;GEGM;2014;TLGE1104;S1
10048722;8.1;AC;2;2013;GEGM;2014;TLGE1104;S1
10048752;10;V ;2;2013;GEGM;2014;TLGE1104;S1
10048754;10;V ;2;2014;GEGM;2014;TLGE1104;S1
11011891;0;NV;1;2014;GEGM;2014;TLGE1104;S1
11012531;7;AC;2;2013;GEGM;2014;TLGE1104;S1
11012544;7;AC;2;2013;GEGM;2014;TLGE1104;S1
11012552;6.5;NV;2;2014;GEGM;2014;TLGE1104;S1
11012941;9.5;AC;2;2014;GEGM;2014;TLGE1104;S1
11013302;7,875;NV;2;2014;GEGM;2014;TLGE1104;S1
11013318;0;NV;1;2014;GEGM;2014;TLGE1104;S1
11013346;8.4;AC;1;2012;GEGM;2014;TLGE1104;S1
11013349;7;AC;2;2013;GEGM;2014;TLGE1104;S1
11013510;10;V ;1;2012;GEGM;2014;TLGE1104;S1
11013773;7.3;AC;2;2013;GEGM;2014;TLGE1104;S1
11013811;12.1;V ;1;2013;GEGM;2014;TLGE1104;S1
12009157;10;V ;1;2012;GEGM;2014;TLGE1104;S1
12010889;9.8;AC;2;2014;GEGM;2014;TLGE1104;S1
12011019;10;V ;1;2012;GEGM;2014;TLGE1104;S1
12011023;0;NV;1;2014;GEGM;2014;TLGE1104;S1
12011025;0;NV;1;2014;GEGM;2014;TLGE1104;S1
12011032;10;V ;1;2012;GEGM;2014;TLGE1104;S1
12011049;10;V ;2;2013;GEGM;2014;TLGE1104;S1
12011056;14;V ;1;2013;GEGM;2014;TLGE1104;S1
12011174;3,968;NV;1;2014;GEGM;2014;TLGE1104;S1
12011188;7;AC;2;2013;GEGM;2014;TLGE1104;S1
12011190;7.5;AC;2;2014;GEGM;2014;TLGE1104;S1
12011202;7;NV;2;2014;GEGM;2014;TLGE1104;S1
12011218;7;AC;2;2014;GEGM;2014;TLGE1104;S1
12011232;7.5;AC;2;2013;GEGM;2014;TLGE1104;S1
12011263;10;V ;2;2013;GEGM;2014;TLGE1104;S1
12011268;3.1;NV;1;2014;GEGM;2014;TLGE1104;S1
12011270;5.5;NV;2;2014;GEGM;2014;TLGE1104;S1
12011281;10;V ;1;2012;GEGM;2014;TLGE1104;S1
12011289;3.5;NV;1;2014;GEGM;2014;TLGE1104;S1
12011305;3.1;NV;1;2014;GEGM;2014;TLGE1104;S1
12011306;7.5;AC;2;2014;GEGM;2014;TLGE1104;S1
12011309;4,847;NV;1;2014;GEGM;2014;TLGE1104;S1
12011317;3.7;NV;1;2014;GEGM;2014;TLGE1104;S1
12011322;8.8;AC;1;2012;GEGM;2014;TLGE1104;S1
12011363;8.4;AC;2;2013;GEGM;2014;TLGE1104;S1
12011394;4,403;NV;1;2014;GEGM;2014;TLGE1104;S1
12011399;7.2;NV;2;2014;GEGM;2014;TLGE1104;S1
12011404;11;V ;1;2014;GEGM;2014;TLGE1104;S1
12011406;4,722;NV;1;2014;GEGM;2014;TLGE1104;S1
12011407;9.9;AC;2;2013;GEGM;2014;TLGE1104;S1
12011543;10,038;V ;1;2013;GEGM;2014;TLGE1104;S1
12011683;7;AC;2;2013;GEGM;2014;TLGE1104;S1
12011735;10;V ;2;2013;GEGM;2014;TLGE1104;S1
12011815;10,525;V ;1;2013;GEGM;2014;TLGE1104;S1
12012002;9.2;AC;2;2013;GEGM;2014;TLGE1104;S1
12012020;7;AC;1;2013;GEGM;2014;TLGE1104;S1
12012063;7;AC;1;2013;GEGM;2014;TLGE1104;S1
12012076;10,975;V ;1;2013;GEGM;2014;TLGE1104;S1
12012165;11.3;V ;1;2012;GEGM;2014;TLGE1104;S1
12012333;10,175;V ;1;2013;GEGM;2014;TLGE1104;S1
12012345;10,725;V ;1;2013;GEGM;2014;TLGE1104;S1
12012717;10;V ;1;2012;GEGM;2014;TLGE1104;S1
12012919;10;V ;1;2012;GEGM;2014;TLGE1104;S1
12012921;8.7;AC;2;2013;GEGM;2014;TLGE1104;S1
12012924;10;V ;1;2013;GEGM;2014;TLGE1104;S1
13010857;13.8;V ;1;2013;GEGM;2014;TLGE1104;S1
