COD_ETU;Note : TLMP2204;Résultat : TLMP2204;Session : TLMP2204;Année : TLMP2204;Filière;Année;Module;Semestre
9004189;7;NV ;2;2014;MIPC;2015;TLMP2204;S2
9004189;7;NV ;2;2014;MIPC;2015;TLMP2104;S2
10008966;10;V  ;1;2012;MIPC;2015;TLMP2104;S2
10009883;11.8;V  ;1;2014;MIPC;2015;TLMP2104;S2
10009927;0;NRA;1;2014;MIPC;2015;TLMP2104;S2
11010123;10;V  ;1;2012;MIPC;2015;TLMP2104;S2
11010608;10.6;V  ;1;2011;MIPC;2015;TLMP2104;S2
11010987;13.7;V  ;1;2014;MIPC;2015;TLMP2104;S2
11011128;10;V  ;1;2012;MIPC;2015;TLMP2104;S2
11012350;0;NRA;1;2014;MIPC;2015;TLMP2104;S2
11013552;10;V  ;1;2012;MIPC;2015;TLMP2104;S2
11013765;10;V  ;1;2012;MIPC;2015;TLMP2104;S2
11013788;10;V  ;1;2012;MIPC;2015;TLMP2104;S2
11013929;10;V  ;1;2012;MIPC;2015;TLMP2104;S2
11013957;10;V  ;1;2012;MIPC;2015;TLMP2104;S2
11013963;13.7;V  ;1;2014;MIPC;2015;TLMP2104;S2
11014112;9.2;NV ;2;2014;MIPC;2015;TLMP2104;S2
11015203;10;V  ;2;2013;MIPC;2015;TLMP2104;S2
11015302;0;NRA;1;2014;MIPC;2015;TLMP2104;S2
12005753;10;V  ;1;2012;MIPC;2015;TLMP2104;S2
12005917;12,575;V  ;1;2014;MIPC;2015;TLMP2104;S2
12006038;10;V  ;2;2013;MIPC;2015;TLMP2104;S2
12006134;7;NV ;2;2014;MIPC;2015;TLMP2104;S2
12006151;11.7;V  ;1;2014;MIPC;2015;TLMP2104;S2
12006272;10;V  ;2;2013;MIPC;2015;TLMP2104;S2
12006295;11,125;V  ;1;2013;MIPC;2015;TLMP2104;S2
12006310;10;V  ;2;2013;MIPC;2015;TLMP2104;S2
12006438;7,075;AC ;2;2013;MIPC;2015;TLMP2104;S2
12006605;10;V  ;2;2013;MIPC;2015;TLMP2104;S2
12007129;9;NV ;2;2014;MIPC;2015;TLMP2104;S2
12007186;10;V  ;1;2013;MIPC;2015;TLMP2104;S2
12010473;;;1;2014;MIPC;2015;TLMP2104;S2
12010826;10;V  ;1;2012;MIPC;2015;TLMP2104;S2
12010961;10.3;V  ;1;2014;MIPC;2015;TLMP2104;S2
12010968;;;1;2014;MIPC;2015;TLMP2104;S2
12011119;;;1;2014;MIPC;2015;TLMP2104;S2
12011124;10;V  ;2;2013;MIPC;2015;TLMP2104;S2
