COD_ETU;Note : TLBC4104;RÃ©sultat : TLBC4104;Session : TLBC4104;AnnÃ©e : TLBC4104;Filière;Année;Module;Semestre
9007198;;;;;BCG;2015;TLBC4104;S4
10009177;0;NRA;1;2014;BCG;2015;TLBC4104;S4
10009488;0;NRA;1;2014;BCG;2015;TLBC4104;S4
10048467;0;NRA;1;2014;BCG;2015;TLBC4104;S4
10048490;0;NRA;1;2014;BCG;2015;TLBC4104;S4
10048657;11.2;V  ;1;2014;BCG;2015;TLBC4104;S4
10048665;10;V  ;2;2014;BCG;2015;TLBC4104;S4
10048675;0;NRA;1;2014;BCG;2015;TLBC4104;S4
10048726;7.2;AC ;2;2014;BCG;2015;TLBC4104;S4
10048740;2.2;NRA;1;2014;BCG;2015;TLBC4104;S4
10048743;0;NRA;1;2014;BCG;2015;TLBC4104;S4
11010373;;;;;BCG;2015;TLBC4104;S4
11011713;;;;;BCG;2015;TLBC4104;S4
11012539;8.4;AC ;2;2014;BCG;2015;TLBC4104;S4
11012566;10;V  ;2;2014;BCG;2015;TLBC4104;S4
11012827;;;;;BCG;2015;TLBC4104;S4
11013259;;;;;BCG;2015;TLBC4104;S4
11013282;0;NRA;1;2014;BCG;2015;TLBC4104;S4
11013286;;;;;BCG;2015;TLBC4104;S4
11013295;0;NRA;1;2014;BCG;2015;TLBC4104;S4
11013299;5.8;NV ;2;2014;BCG;2015;TLBC4104;S4
11013303;5.6;NV ;2;2014;BCG;2015;TLBC4104;S4
12005306;10;V  ;2;2014;BCG;2015;TLBC4104;S4
12005319;7.8;AC ;2;2014;BCG;2015;TLBC4104;S4
12005765;10;V  ;1;2014;BCG;2015;TLBC4104;S4
12005766;10;V  ;1;2014;BCG;2015;TLBC4104;S4
12005831;0;NRA;1;2014;BCG;2015;TLBC4104;S4
12006095;0;NRA;1;2014;BCG;2015;TLBC4104;S4
12006285;12.4;V  ;1;2014;BCG;2015;TLBC4104;S4
12006411;;;;;BCG;2015;TLBC4104;S4
12006494;5.2;NV ;2;2014;BCG;2015;TLBC4104;S4
12006773;12.5;V  ;1;2014;BCG;2015;TLBC4104;S4
12006798;4.8;NRA;1;2014;BCG;2015;TLBC4104;S4
12007338;;;;;BCG;2015;TLBC4104;S4
12007536;14;V  ;1;2014;BCG;2015;TLBC4104;S4
12008132;;;;;BCG;2015;TLBC4104;S4
12010659;16.6;V  ;1;2014;BCG;2015;TLBC4104;S4
12010810;11.5;V  ;1;2014;BCG;2015;TLBC4104;S4
12010824;8.4;NV ;2;2014;BCG;2015;TLBC4104;S4
12010910;4.6;NRA;1;2014;BCG;2015;TLBC4104;S4
12011050;9.8;NV ;2;2014;BCG;2015;TLBC4104;S4
12011061;7.8;AC ;2;2014;BCG;2015;TLBC4104;S4
12011065;14;V  ;1;2014;BCG;2015;TLBC4104;S4
12011067;;;;;BCG;2015;TLBC4104;S4
12011093;;;;;BCG;2015;TLBC4104;S4
12011094;9;AC ;2;2014;BCG;2015;TLBC4104;S4
12011098;2.4;NRA;1;2014;BCG;2015;TLBC4104;S4
12011101;0;NRA;1;2014;BCG;2015;TLBC4104;S4
12011103;9.4;AC ;2;2014;BCG;2015;TLBC4104;S4
12011115;;;;;BCG;2015;TLBC4104;S4
12011118;5.6;NV ;2;2014;BCG;2015;TLBC4104;S4
12011128;;;;;BCG;2015;TLBC4104;S4
12011130;;;;;BCG;2015;TLBC4104;S4
12011135;2.6;NRA;1;2014;BCG;2015;TLBC4104;S4
12011138;;;;;BCG;2015;TLBC4104;S4
12011154;11;V  ;1;2014;BCG;2015;TLBC4104;S4
12011155;10;V  ;2;2014;BCG;2015;TLBC4104;S4
12011156;;;;;BCG;2015;TLBC4104;S4
12011158;8.8;AC ;2;2014;BCG;2015;TLBC4104;S4
12011159;10.2;V  ;1;2014;BCG;2015;TLBC4104;S4
12011178;;;;;BCG;2015;TLBC4104;S4
12011179;8.8;NV ;2;2014;BCG;2015;TLBC4104;S4
12011207;;;;;BCG;2015;TLBC4104;S4
12011212;0;NRA;1;2014;BCG;2015;TLBC4104;S4
12011217;13.6;V  ;1;2014;BCG;2015;TLBC4104;S4
12011233;0;NRA;1;2014;BCG;2015;TLBC4104;S4
12011235;0;NRA;1;2014;BCG;2015;TLBC4104;S4
12011253;11.4;V  ;1;2014;BCG;2015;TLBC4104;S4
