"COD_ETU","Note : TLBC2104","Résultat : TLBC2104","Session : TLBC2104","Année : TLBC2104","Note : TLBC2204","Résultat : TLBC2204","Session : TLBC2204","Année : TLBC2204","Note : TLBC2304","Résultat : TLBC2304","Session : TLBC2304","Année : TLBC2304","Note : TLBC2404","Résultat : TLBC2404","Session : TLBC2404","Année : TLBC2404","Note : TLBC2504","Résultat : TLBC2504","Session : TLBC2504","Année : TLBC2504","Note : TLBC2604","Résultat : TLBC2604","Session : TLBC2604","Année : TLBC2604","Note : TLBC2004","Résultat : TLBC2004","Session : TLBC2004","Année : TLBC2004","Note : TLBC1104","Résultat : TLBC1104","Session : TLBC1104","Année : TLBC1104","Note : TLBC1204","Résultat : TLBC1204","Session : TLBC1204","Année : TLBC1204","Note : TLBC1304","Résultat : TLBC1304","Session : TLBC1304","Année : TLBC1304","Note : TLBC1404","Résultat : TLBC1404","Session : TLBC1404","Année : TLBC1404","Note : TLBC1504","Résultat : TLBC1504","Session : TLBC1504","Année : TLBC1504","Note : TLBC1604","Résultat : TLBC1604","Session : TLBC1604","Année : TLBC1604","Note : TLBC1004","Résultat : TLBC1004","Session : TLBC1004","Année : TLBC1004"
"15000165","10","V","2","2016","10","V","2","2015","0","NRA","1","2020","12.6","V","1","2015","0","NRA","1","2020","10","V","1","2015","7.1","NV","2","2020","10.1","V","1","2015","9","AC","2","2016","13","V","1","2015","7.9","AC","2","2016","10","V","2","2015","10","V","2","2015","10","V","2","2016"
"15000255","10","V","2","2016","6","NV","2","2020","10","V","2","2018","10","V","2","2019","10","V","1","2019","11.5","V","1","2015","9,583","NV","2","2020","10","V","2","2016","10","V","1","2016","11.25","V","1","2017","3,006","NV","2","2020","6","NV","2","2020","13.25","V","1","2015","8,918","NV","2","2020"
"15000369","10","V","2","2016","13.25","V","1","2016","0","NRA","1","2020","10","V","2","2016","0","NRA","1","2020","11.5","V","1","2016","7,458","NV","2","2020","10","V","2","2016","13.4","V","1","2016","10","V","2","2015","0","NRA","1","2020","10","V","2","2016","13","V","1","2016","9.4","NV","2","2020"
"15001005","13","V","1","2015","10","V","1","2015","12","V","1","2019","13.15","V","1","2017","20","V","1","2019","10","V","2","2015","13,025","V","1","2019","10","V","2","2019","10.1","V","1","2016","10","V","2","2018","0","NRA","1","2020","10.9","V","1","2017","10","V","2","2016","8.5","NV","2","2020"
"15005062","10","V","2","2015","11","V","1","2015","12.2","V","1","2017","13.2","V","1","2016","0","NRA","1","2020","10","V","1","2015","9.4","NV","2","2020","10","V","2","2015","10","V","1","2016","10","V","2","2016","0","NRA","1","2020","10","V","2","2016","10","V","2","2015","8,333","NV","2","2020"
"15005732","10","V","2","2015","11","V","1","2015","0","NRA","1","2020","10","V","2","2015","0","NRA","1","2020","10","V","2","2015","6,833","NV","2","2020","10","V","2","2015","10","V","2","2015","8","AC","2","2015","10","V","2","2015","7","AC","2","2015","15.25","V","1","2015","10,042","V","2","2015"
"16000815","10","V","2","2016","10","V","2","2018","9","AC","2","2019","10","V","2","2018","11","V","1","2019","10","V","2","2017","10","V","2","2019","9.2","AC","2","2020","10","V","1","2016","10,225","V","1","2017","10,625","V","1","2019","10","V","2","2016","10","V","2","2016","10,008","V","2","2020"
"16000840","10","V","2","2016","13.1","V","1","2016","13.8","V","1","2017","0","NRA","1","2020","0","NRA","1","2020","12.5","V","1","2016","8,233","NV","2","2020","14.46","V","1","2016","15.2","V","1","2016","10.2","V","1","2016","0","NRA","1","2020","0","NRA","1","2020","15","V","1","2016","9,143","NV","2","2020"
"16004450","10.5","V","1","2016","13","V","1","2019","15.5","V","1","2019","10","V","2","2016","18","V","1","2019","14","V","1","2016","13.5","V","1","2019","10.06","V","1","2016","10","V","2","2017","11.45","V","1","2016","10","V","2","2020","10","V","2","2017","15.5","V","1","2016","11,168","V","2","2020"
"16008736","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020",".25","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020",".042","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020"
"17003102","10.4","V","1","2017","11,032","V","1","2018","7.3","AC","2","2018","10","V","2","2017","13","V","1","2018","10","V","2","2017","10,289","V","2","2018","7","AC","2","2020","10","V","2","2018","10,375","V","1","2017","10","V","2","2018","10","V","2","2017","10","V","2","2017","9,563","AC","2","2020"
"17004303","10.8","V","1","2017","10","V","2","2017","0","NRA","1","2020","10.3","V","1","2017","0","NRA","1","2020","10.5","V","1","2017","6,933","NV","2","2020","11.25","V","1","2017","10","V","2","2017","13.86","V","1","2017","7,225","AC","2","2017","11.8","V","1","2017","11.5","V","1","2017","10,939","V","2","2017"
"17004847","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020",".25","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020",".042","NV","2","2020","14.25","V","1","2017","16.3","V","1","2017","17","V","1","2017","13,663","V","1","2017","16.8","V","1","2017","13","V","1","2017","15,169","V","1","2017"
