"COD_ETU","Note : TLGE1104","Résultat : TLGE1104","Session : TLGE1104","Année : TLGE1104","Note : TLGE1204","Résultat : TLGE1204","Session : TLGE1204","Année : TLGE1204","Note : TLGE1304","Résultat : TLGE1304","Session : TLGE1304","Année : TLGE1304","Note : TLGE1404","Résultat : TLGE1404","Session : TLGE1404","Année : TLGE1404","Note : TLGE1504","Résultat : TLGE1504","Session : TLGE1504","Année : TLGE1504","Note : TLGE1604","Résultat : TLGE1604","Session : TLGE1604","Année : TLGE1604","Note : TLGE1004","Résultat : TLGE1004","Session : TLGE1004","Année : TLGE1004","Note : TLGE2104","Résultat : TLGE2104","Session : TLGE2104","Année : TLGE2104","Note : TLGE2204","Résultat : TLGE2204","Session : TLGE2204","Année : TLGE2204","Note : TLGE2304","Résultat : TLGE2304","Session : TLGE2304","Année : TLGE2304","Note : TLGE2404","Résultat : TLGE2404","Session : TLGE2404","Année : TLGE2404","Note : TLGE2504","Résultat : TLGE2504","Session : TLGE2504","Année : TLGE2504","Note : TLGE2604","Résultat : TLGE2604","Session : TLGE2604","Année : TLGE2604","Note : TLGE2004","Résultat : TLGE2004","Session : TLGE2004","Année : TLGE2004"
"15001763","8.5","AC","2","2020","10","V","2","2018","9","AC","2","2020","10","V","2","2018","10","V","2","2015","12.5","V","1","2015","10","V","2","2020","10","V","2","2018","10","V","2","2016","12","V","1","2019","10.2","V","1","2018","8","AC","2","2019","14","V","1","2016","10.7","V","2","2019"
"15005614","1.5","NV","2","2020","10","V","2","2018","10","V","1","2015","0","NRA","1","2020","10","V","1","2015","10","V","1","2015","6,917","NV","2","2020","10","V","2","2015","10","V","2","2015","0","NRA","1","2020","0","NRA","1","2020","10,543","V","1","2015","12.5","V","1","2015","7,174","NV","2","2020"
"16000658","7","AC","2","2020","10","V","2","2016","10","V","2","2016","10","V","2","2017","10","V","2","2017","12.5","V","1","2016","9,917","AC","2","2020","13.5","V","1","2019","10","V","1","2016","10","V","2","2017","10.6","V","1","2016","11","V","1","2019","11,875","V","1","2016","11,163","V","1","2019"
"16000747","1.5","NV","2","2020","10","V","2","2017","0","NRA","1","2020","11.5","V","1","2017","13.75","V","1","2017","12,375","V","1","2016","8,188","NV","2","2020","0","NRA","1","2020","10","V","2","2017","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2017","13,625","V","1","2016","5,604","NV","2","2020"
"16000792","1,875","NV","2","2020","10.6","V","1","2016","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2016","3,746","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020"
"16001403","10","V","2","2019","7","AC","2","2020","11","V","1","2020","10","V","2","2018","14","V","1","2017","10","V","2","2016","10,333","V","2","2020","10","V","2","2018","10","V","2","2017","14","V","1","2019","13","V","1","2019","10,002","V","1","2018","10","V","2","2018","11,167","V","1","2019"
"16001542","9","AC","2","2017","10.2","V","1","2017","10","V","2","2017","13.7","V","1","2017","15","V","1","2017","12","V","1","2016","11.65","V","2","2019",".5","NV","2","2020","10.15","V","1","2017","5","NV","2","2020","10.15","V","1","2018","6.5","NV","2","2020","12.75","V","1","2016","7,508","NV","2","2020"
"16001637","3,413","NV","2","2020","10","V","2","2018","10","V","2","2018","10","V","2","2017","10","V","2","2018","10","V","2","2016","8,902","NV","2","2020","10","V","2","2018","10","V","2","2016","20","V","1","2019","10","V","2","2018","12","V","1","2019","10","V","1","2020","12","V","1","2020"
"16001787","7.2","AC","2","2018","10","V","2","2018","10","V","2","2017","12.3","V","1","2017","10","V","1","2016","10.5","V","1","2016","10","V","2","2019","10","V","2","2018","10","V","1","2016","10","V","2","2020","10","V","2","2018","10","V","2","2016","12,125","V","1","2016","10,354","V","2","2020"
"16001824","1.5","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2017","13","V","1","2016","4,083","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","14","V","1","2016","2,333","NV","2","2020"
