"COD_ETU","Note : TLGE3104","Résultat : TLGE3104","Session : TLGE3104","Année : TLGE3104","Note : TLGE3204","Résultat : TLGE3204","Session : TLGE3204","Année : TLGE3204","Note : TLGE3304","Résultat : TLGE3304","Session : TLGE3304","Année : TLGE3304","Note : TLGE3404","Résultat : TLGE3404","Session : TLGE3404","Année : TLGE3404","Note : TLGE3504","Résultat : TLGE3504","Session : TLGE3504","Année : TLGE3504","Note : TLGE3604","Résultat : TLGE3604","Session : TLGE3604","Année : TLGE3604","Note : TLGE3004","Résultat : TLGE3004","Session : TLGE3004","Année : TLGE3004","Note : TLGE4104","Résultat : TLGE4104","Session : TLGE4104","Année : TLGE4104","Note : TLGE4204","Résultat : TLGE4204","Session : TLGE4204","Année : TLGE4204","Note : TLGE4304","Résultat : TLGE4304","Session : TLGE4304","Année : TLGE4304","Note : TLGE4404","Résultat : TLGE4404","Session : TLGE4404","Année : TLGE4404","Note : TLGE4504","Résultat : TLGE4504","Session : TLGE4504","Année : TLGE4504","Note : TLGE4604","Résultat : TLGE4604","Session : TLGE4604","Année : TLGE4604","Note : TLGE4004","Résultat : TLGE4004","Session : TLGE4004","Année : TLGE4004","Note : TLMP140C","Résultat : TLMP140C","Session : TLMP140C","Année : TLMP140C","Note : TLMP240C","Résultat : TLMP240C","Session : TLMP240C","Année : TLMP240C"
"14000545","10","V","2","2017","0","NRA","1","2020","10","V","2","2020","11.25","V","1","2017","10","V","2","2017","11","V","1","2016","8,708","NV","2","2020","10.5","V","1","2019","10","V","1","2019","10","V","2","2020","14,175","V","1","2018","11","V","1","2020",".5","NV","2","2020","9,363","NV","2","2020","","","","","","","",""
"15000649","1.5","NV","2","2020","10","V","2","2020","10","V","2","2019","11.25","V","1","2017","10","V","2","2018","12","V","1","2016","9,125","NV","2","2020","15.85","V","1","2019","10","V","1","2019","11","V","1","2016","13","V","1","2017","10","V","2","2016","16","V","1","2019","12,642","V","1","2019","","","","","","","",""
"15000874","10","V","2","2018","8","AC","2","2020","10.5","V","1","2020","10","V","2","2018","10","V","2","2020","10","V","1","2016","9.75","AC","2","2020","10,425","V","1","2020","10","V","2","2020","10","V","2","2019","17","V","1","2020","10","V","1","2019","7","AC","2","2020","10,738","V","2","2020","","","","","","","",""
"15001074","10","V","2","2019","7","AC","2","2020","10","V","2","2020","10","V","2","2018","10","V","2","2019","10","V","1","2019","9.5","AC","2","2020","10.95","V","1","2019","7","AC","2","2019","11","V","1","2019","9","AC","2","2019","13","V","1","2019","10","V","1","2019","10,158","V","2","2019","","","","","","","",""
"15001763","6","NV","2","2020","5","NV","2","2020","7","NV","2","2020","10","V","2","2018","7","NV","2","2020","10","V","1","2016","7.5","NV","2","2020","13.55","V","1","2019","10","V","1","2019","11","V","1","2019","0","NRA","1","2020","11","V","1","2019","0","NRA","1","2020","7,592","NV","2","2020","","","","","","","",""
"15004320","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2017","0","NRA","1","2020","10","V","2","2016","3,333","NV","2","2020","0","NRA","1","2020","10","V","2","2016","12.5","V","1","2016","0","NRA","1","2020","11,875","V","1","2016","0","NRA","1","2020","5,729","NV","2","2020","","","","","","","",""
"15004538","10","V","2","2020","10","V","2","2018","7","AC","2","2020","10","V","1","2017","10","V","2","2020","10.5","V","1","2016","9,583","AC","2","2020","10","V","1","2019","14","V","1","2019","10","V","1","2017","10","V","1","2017","10","V","2","2016","16","V","1","2019","11,667","V","1","2019","","","","","","","",""
"15004586","10","V","2","2020","10","V","2","2018","10","V","2","2020","10","V","2","2017","12","V","1","2020","12","V","1","2016","10,667","V","2","2020","10,023","V","1","2018","10","V","2","2020","10","V","2","2016","11.5","V","1","2017","11,875","V","1","2016","7","AC","2","2020","10,066","V","2","2020","","","","","","","",""
"15004622","10","V","1","2020","10","V","1","2017","10","V","2","2017","10.5","V","1","2017","10","V","2","2017","10","V","2","2016","10,083","V","1","2020","13,145","V","1","2018","10","V","2","2017","10","V","1","2019","10.5","V","1","2020","13","V","1","2017","10","V","2","2019","11,108","V","1","2020","","","","","","","",""
"15005607","10","V","1","2020","2","NV","2","2020","12.5","V","1","2020","10","V","1","2016","10","V","2","2020","10.5","V","1","2019","9,167","NV","2","2020","9,575","NV","2","2020","4","NV","2","2020","11","V","1","2020","10","V","2","2020","10","V","2","2020","0","NRA","1","2020","7,429","NV","2","2020","","","","","","","",""
