"COD_ETU","Note : TLMI2104","Résultat : TLMI2104","Session : TLMI2104","Année : TLMI2104","Note : TLMI2204","Résultat : TLMI2204","Session : TLMI2204","Année : TLMI2204","Note : TLMI2304","Résultat : TLMI2304","Session : TLMI2304","Année : TLMI2304","Note : TLMI2404","Résultat : TLMI2404","Session : TLMI2404","Année : TLMI2404","Note : TLMI2504","Résultat : TLMI2504","Session : TLMI2504","Année : TLMI2504","Note : TLMI2604","Résultat : TLMI2604","Session : TLMI2604","Année : TLMI2604","Note : TLMI2004","Résultat : TLMI2004","Session : TLMI2004","Année : TLMI2004","Note : TLMI1104","Résultat : TLMI1104","Session : TLMI1104","Année : TLMI1104","Note : TLMI1204","Résultat : TLMI1204","Session : TLMI1204","Année : TLMI1204","Note : TLMI1304","Résultat : TLMI1304","Session : TLMI1304","Année : TLMI1304","Note : TLMI1404","Résultat : TLMI1404","Session : TLMI1404","Année : TLMI1404","Note : TLMI1504","Résultat : TLMI1504","Session : TLMI1504","Année : TLMI1504","Note : TLMI1604","Résultat : TLMI1604","Session : TLMI1604","Année : TLMI1604","Note : TLMI1004","Résultat : TLMI1004","Session : TLMI1004","Année : TLMI1004"
"16001328","10.3","V","1","2016","10","V","2","2019","15","V","1","2019","10.3","V","1","2017","10","V","1","2019","10.75","V","1","2016","11,058","V","2","2019","11.95","V","1","2017","9.55","AC","2","2020","8.5","AC","2","2020","10","V","2","2017","10","V","2","2016","10","V","1","2016","10","V","2","2020"
"16001999","10","V","2","2018","10","V","2","2016",".5","NV","2","2020","10","V","2","2017","10","V","2","2019","14","V","1","2016","9,083","NV","2","2020","10.1","V","1","2019","10","V","2","2017","10","V","2","2017","2","NV","2","2020","10","V","2","2017","11.75","V","1","2016","8,975","NV","2","2020"
"16002056","10","V","2","2016","10","V","2","2018","0","NRA","1","2020","0","NRA","1","2020","10","V","1","2018","14","V","1","2016","7,333","NV","2","2020","0","NRA","1","2020","10","V","2","2018","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2016","13.5","V","1","2016","5,583","NV","2","2020"
"16005554","12.4","V","1","2019","10","V","2","2017","10","V","2","2019","11","V","1","2019","10.5","V","1","2019","16.5","V","1","2016","11,733","V","2","2019","7","AC","2","2020","10","V","2","2017","10","V","2","2020","9","AC","2","2020","10","V","1","2016","14","V","1","2016","10","V","2","2020"
"17000924","11.65","V","1","2018","10","V","2","2018","13","V","1","2019","16","V","1","2019","10","V","2","2018","10.75","V","1","2017","11.9","V","1","2019","16.25","V","1","2019","10","V","2","2018","11","V","1","2020","10","V","2","2019","10","V","2","2017","15,875","V","1","2017","12,188","V","1","2020"
"17002059","10.19","V","1","2018","10","V","2","2019","14","V","1","2019","16.5","V","1","2019","12.38","V","1","2018","12","V","1","2019","12,512","V","2","2019","12.35","V","1","2020","10","V","1","2018","7","AC","2","2020","7","AC","2","2020","15.5","V","1","2018","11","V","1","2018","10,475","V","2","2020"
"17002457","11.3","V","1","2018","10","V","2","2018","10","V","1","2019","10","V","2","2018","11,275","V","1","2018","14.75","V","1","2017","11,221","V","1","2019","12.6","V","1","2019","10","V","2","2019","10","V","1","2020","10","V","2","2019","13.5","V","1","2018","14.5","V","1","2017","11,767","V","1","2020"
"17006009","10","V","2","2019","11","V","1","2019","10","V","2","2019","10.6","V","1","2018","10","V","1","2019","10","V","1","2018","10,267","V","2","2019","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","10.4","V","1","2018","11.5","V","1","2017","13.75","V","1","2017","5,942","NV","2","2020"
"17006196","10","V","2","2019","10","V","2","2019","3","NV","2","2020","10","VAR","2","2020","10","V","2","2019","10","VAR","2","2020","8,833","NV","2","2020","5,625","NV","2","2020","9","NV","2","2020","6","NV","2","2020","7","NV","2","2020","12.5","V","1","2017","10","V","2","2017","8,354","NV","2","2020"
"17006200","10","V","2","2017","10.65","V","1","2018","0","NRA","1","2020","10.7","V","1","2017","10,002","V","1","2018","10","V","2","2017","8,559","NV","2","2020","13.2","V","1","2017","12","V","1","2018","7","AC","2","2018","10","V","2","2018","10","V","2","2017","10.5","V","1","2017","10.45","V","2","2018"
