"COD_ETU","Note : TLMP3104","Résultat : TLMP3104","Session : TLMP3104","Année : TLMP3104","Note : TLMP3204","Résultat : TLMP3204","Session : TLMP3204","Année : TLMP3204","Note : TLMP3304","Résultat : TLMP3304","Session : TLMP3304","Année : TLMP3304","Note : TLMP3404","Résultat : TLMP3404","Session : TLMP3404","Année : TLMP3404","Note : TLMP3504","Résultat : TLMP3504","Session : TLMP3504","Année : TLMP3504","Note : TLMP3604","Résultat : TLMP3604","Session : TLMP3604","Année : TLMP3604","Note : TLMP3004","Résultat : TLMP3004","Session : TLMP3004","Année : TLMP3004","Note : TLMP4104","Résultat : TLMP4104","Session : TLMP4104","Année : TLMP4104","Note : TLMP4204","Résultat : TLMP4204","Session : TLMP4204","Année : TLMP4204","Note : TLMP4304","Résultat : TLMP4304","Session : TLMP4304","Année : TLMP4304","Note : TLMP4404","Résultat : TLMP4404","Session : TLMP4404","Année : TLMP4404","Note : TLMP4504","Résultat : TLMP4504","Session : TLMP4504","Année : TLMP4504","Note : TLMP4604","Résultat : TLMP4604","Session : TLMP4604","Année : TLMP4604","Note : TLMP4004","Résultat : TLMP4004","Session : TLMP4004","Année : TLMP4004"
"11013396","9.2","AC","2","2013","11","V","1","2012","","","","","9","AC","2","2013","11.1","V","1","2011","","","","","10","V","2","2013","2","NV","2","2020","6","NV","2","2020","1","NV","2","2020","5","NV","2","2020","10.8","V","1","2013","10.8","V","1","2013","5,933","NV","2","2020"
"12012705","10","V","2","2014","11","V","1","2013","","","","","11","V","2","2013","14.4","V","1","2012","","","","","10","V","2","2014","0","NRA","1","2020","10","V","2","2019","10","V","2","2019","10","V","2","2019","8","AC","2","2014","8","AC","2","2014","7,667","NV","2","2020"
"14004740","10","V","2","2019","7","AC","2","2020","10","V","2","2019","10.8","V","1","2018","10","V","1","2020","10","V","1","2016","9,633","AC","2","2020","8.5","AC","2","2019","7","AC","2","2019","14.4","V","1","2018","10","V","1","2018","10","V","2","2017","12","V","1","2019","10,317","V","2","2019"
"14006708",".6","NV","2","2020","1.5","NV","2","2020","0","NRA","1","2020","10","V","2","2018","5","NV","2","2020","10","V","2","2018","4,517","NV","2","2020","9","AC","2","2019","10","V","2","2019","16","V","1","2019","9","AC","2","2019","10","V","2","2019","10","V","2","2019","10,667","V","2","2019"
"15000272","10","V","2","2018","3.5","NV","2","2020","7","NV","2","2020","4","NV","2","2020","12.85","V","1","2018","11","V","1","2018","8,058","NV","2","2020","","","","","0","NRA","1","2020","","","","","0","NRA","1","2020","11,275","V","1","2017","0","NRA","1","2020","","","1","2020"
"15000304","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2016","1,667","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020"
"15000339","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","12,625","V","1","2017","10.8","V","1","2017","15","V","1","2016","6,404","NV","2","2020","0","NRA","1","2020","10","V","2","2016","0","NRA","1","2020","0","NRA","1","2020","15.95","V","1","2016","0","NRA","1","2020","4,325","NV","2","2020"
"15001042","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2018","0","NRA","1","2020","0","NRA","1","2020","14.5","V","1","2018","4,083","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020"
"15001093","7.75","AC","2","2016","10","V","1","2016","9.2","AC","2","2016","10","V","2","2016","9.05","AC","2","2016","14","V","1","2016","10","V","2","2016","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","16,875","V","1","2016","0","NRA","1","2020","2,813","NV","2","2020"
"15002395","","","","","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2017","0","NRA","1","2020","0","NRA","1","2020","","","1","2020","","","","","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","13.05","V","1","2016","0","NRA","1","2020","","","1","2020"
"15002444","10","V","2","2018","10","V","2","2018","10.1","V","1","2018","10","V","2","2020","10","V","2","2018","11","V","1","2016","10,183","V","2","2020","10","V","2","2018","10","V","2","2018","10","V","2","2018","11","V","1","2019","14,075","V","1","2017","11.1","V","1","2016","11,029","V","1","2019"
"15002547","0","NRA","1","2020","0","NRA","1","2020","10.1","V","1","2017","10","V","2","2017","0","NRA","1","2020","11,375","V","1","2017","5,246","NV","2","2020","0","NRA","1","2020","10.25","V","1","2017","10","V","2","2017","0","NRA","1","2020","13.2","V","1","2016","0","NRA","1","2020","5,575","NV","2","2020"
"15003217","0","NRA","1","2020","0","NRA","1","2020","11.5","V","1","2020","0","NRA","1","2020","10","V","1","2017","12.25","V","1","2017","5,625","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","","","","","","","","","0","NRA","1","2020","0","NRA","1","2020","","","1","2020"
