COD_ETU;Note : TLBC3104;RÃ©sultat : TLBC3104;Session : TLBC3104;AnnÃ©e : TLBC3104;Filière;Année;Module;Semestre
12011598;11,375;V  ;1;2015;BCG;2020;TLBC3104;S3
13012469;10,688;V  ;1;2019;BCG;2020;TLBC3104;S3
13012823;0;NRA;1;2020;BCG;2020;TLBC3104;S3
13014984;12.2;V  ;1;2015;BCG;2020;TLBC3104;S3
14000415;10.8;V  ;1;2016;BCG;2020;TLBC3104;S3
14007110;10;V  ;2;2020;BCG;2020;TLBC3104;S3
15000165;0;NRA;1;2020;BCG;2020;TLBC3104;S3
15000254;10;V  ;2;2020;BCG;2020;TLBC3104;S3
15000255;7.5;NV ;2;2020;BCG;2020;TLBC3104;S3
15000325;0;NRA;1;2020;BCG;2020;TLBC3104;S3
15000369;5.5;NV ;2;2020;BCG;2020;TLBC3104;S3
15000378;10;V  ;2;2016;BCG;2020;TLBC3104;S3
15001005;6.5;NV ;2;2020;BCG;2020;TLBC3104;S3
15001076;10;V  ;2;2017;BCG;2020;TLBC3104;S3
15003215;9,125;NV ;2;2020;BCG;2020;TLBC3104;S3
15005062;12;V  ;1;2017;BCG;2020;TLBC3104;S3
15005599;0;NRA;1;2020;BCG;2020;TLBC3104;S3
15005732;0;NRA;1;2020;BCG;2020;TLBC3104;S3
15005745;10;V  ;2;2020;BCG;2020;TLBC3104;S3
16000053;7.8;AC ;2;2020;BCG;2020;TLBC3104;S3
16000092;4;NV ;2;2020;BCG;2020;TLBC3104;S3
16000128;0;NRA;1;2020;BCG;2020;TLBC3104;S3
16000176;0;NRA;1;2020;BCG;2020;TLBC3104;S3
16000182;10;V  ;2;2017;BCG;2020;TLBC3104;S3
16000268;7.2;NV ;2;2020;BCG;2020;TLBC3104;S3
16000683;0;NRA;1;2020;BCG;2020;TLBC3104;S3
16000815;;;;;BCG;2020;TLBC3104;S3
16000840;0;NRA;1;2020;BCG;2020;TLBC3104;S3
16000875;11,875;V  ;1;2020;BCG;2020;TLBC3104;S3
16000896;0;NRA;1;2020;BCG;2020;TLBC3104;S3
16001022;10,725;V  ;1;2019;BCG;2020;TLBC3104;S3
16001160;10;V  ;1;2018;BCG;2020;TLBC3104;S3
16001456;9;NV ;2;2020;BCG;2020;TLBC3104;S3
16001472;7.2;AC ;2;2020;BCG;2020;TLBC3104;S3
16001664;10,875;V  ;1;2020;BCG;2020;TLBC3104;S3
16002645;10;V  ;2;2020;BCG;2020;TLBC3104;S3
16004450;10;V  ;1;2019;BCG;2020;TLBC3104;S3
16004640;9.5;AC ;2;2018;BCG;2020;TLBC3104;S3
16005950;0;NRA;1;2020;BCG;2020;TLBC3104;S3
16006059;10;V  ;2;2020;BCG;2020;TLBC3104;S3
16008684;10;V  ;2;2019;BCG;2020;TLBC3104;S3
17000122;8.5;AC ;2;2020;BCG;2020;TLBC3104;S3
17002219;10,875;V  ;1;2020;BCG;2020;TLBC3104;S3
17002453;10.1;V  ;1;2019;BCG;2020;TLBC3104;S3
17002541;10.2;V  ;1;2018;BCG;2020;TLBC3104;S3
17002558;10;V  ;2;2020;BCG;2020;TLBC3104;S3
17003102;7.5;AC ;2;2020;BCG;2020;TLBC3104;S3
17003303;10;V  ;2;2020;BCG;2020;TLBC3104;S3
17004303;0;NRA;1;2020;BCG;2020;TLBC3104;S3
17004847;0;NRA;1;2020;BCG;2020;TLBC3104;S3
17004850;0;NRA;1;2020;BCG;2020;TLBC3104;S3
17004852;9.8;AC ;2;2020;BCG;2020;TLBC3104;S3
17004892;15.2;V  ;1;2018;BCG;2020;TLBC3104;S3
17005130;10;V  ;2;2020;BCG;2020;TLBC3104;S3
17005196;;;;;BCG;2020;TLBC3104;S3
17005235;12,375;V  ;1;2018;BCG;2020;TLBC3104;S3
17005274;0;NRA;1;2020;BCG;2020;TLBC3104;S3
17005286;9;AC ;2;2020;BCG;2020;TLBC3104;S3
17005290;11.8;V  ;1;2020;BCG;2020;TLBC3104;S3
17005294;10;V  ;2;2018;BCG;2020;TLBC3104;S3
17005334;10;V  ;2;2020;BCG;2020;TLBC3104;S3
17005369;10;V  ;2;2018;BCG;2020;TLBC3104;S3
17005374;11;V  ;1;2020;BCG;2020;TLBC3104;S3
17005433;0;NRA;1;2020;BCG;2020;TLBC3104;S3
17005445;13,625;V  ;1;2020;BCG;2020;TLBC3104;S3
17005485;0;NRA;1;2020;BCG;2020;TLBC3104;S3
17005491;0;NRA;1;2020;BCG;2020;TLBC3104;S3
17005503;9.8;NV ;2;2020;BCG;2020;TLBC3104;S3
17005516;10;V  ;2;2020;BCG;2020;TLBC3104;S3
17005617;10.2;V  ;1;2019;BCG;2020;TLBC3104;S3
17005624;6;NV ;2;2020;BCG;2020;TLBC3104;S3
17005654;7.5;AC ;2;2020;BCG;2020;TLBC3104;S3
17005665;9.2;AC ;2;2020;BCG;2020;TLBC3104;S3
17005671;10;V  ;2;2020;BCG;2020;TLBC3104;S3
17005683;9.5;AC ;2;2020;BCG;2020;TLBC3104;S3
17005707;10.7;V  ;1;2019;BCG;2020;TLBC3104;S3
17005710;5.8;NV ;2;2020;BCG;2020;TLBC3104;S3
17005716;11,625;V  ;1;2018;BCG;2020;TLBC3104;S3
17005719;7.8;AC ;2;2018;BCG;2020;TLBC3104;S3
17005722;9.8;NV ;2;2020;BCG;2020;TLBC3104;S3
17005766;0;NRA;1;2020;BCG;2020;TLBC3104;S3
17005814;10;V  ;2;2020;BCG;2020;TLBC3104;S3
17005817;12,375;V  ;1;2020;BCG;2020;TLBC3104;S3
17005841;9.5;AC ;2;2020;BCG;2020;TLBC3104;S3
17005842;8.5;NV ;2;2020;BCG;2020;TLBC3104;S3
17005856;0;NRA;1;2020;BCG;2020;TLBC3104;S3
17005864;11;V  ;1;2020;BCG;2020;TLBC3104;S3
17005882;;;;;BCG;2020;TLBC3104;S3
17005897;8.5;NV ;2;2020;BCG;2020;TLBC3104;S3
17005898;10;V  ;2;2018;BCG;2020;TLBC3104;S3
17005921;10,875;V  ;1;2020;BCG;2020;TLBC3104;S3
17005948;8.2;NV ;2;2020;BCG;2020;TLBC3104;S3
17006031;10,625;V  ;1;2020;BCG;2020;TLBC3104;S3
17006036;8.5;NV ;2;2020;BCG;2020;TLBC3104;S3
17006084;;;;;BCG;2020;TLBC3104;S3
17006087;7.8;NV ;2;2020;BCG;2020;TLBC3104;S3
17006093;0;NRA;1;2020;BCG;2020;TLBC3104;S3
17006102;10;V  ;2;2020;BCG;2020;TLBC3104;S3
