COD_ETU;Note : TLGE2104;RÃ©sultat : TLGE2104;Session : TLGE2104;AnnÃ©e : TLGE2104;Filiére;Année;module;Semestre
15001763;10;V  ;2;2018;GEGM;2021;TLGE2104;S2
15005614;10;V  ;2;2015;GEGM;2021;TLGE2104;S2
16000658;13.5;V  ;1;2019;GEGM;2021;TLGE2104;S2
16000747;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
16000792;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
16001403;10;V  ;2;2018;GEGM;2021;TLGE2104;S2
16001542;0.5;NV ;2;2020;GEGM;2021;TLGE2104;S2
16001637;10;V  ;2;2018;GEGM;2021;TLGE2104;S2
16001787;10;V  ;2;2018;GEGM;2021;TLGE2104;S2
16001824;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
16001861;10;V  ;2;2018;GEGM;2021;TLGE2104;S2
16005460;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
16005549;10;V  ;2;2017;GEGM;2021;TLGE2104;S2
16005932;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
16006053;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
17005056;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
17005340;10;V  ;2;2017;GEGM;2021;TLGE2104;S2
17005537;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
17005796;11.5;V  ;1;2019;GEGM;2021;TLGE2104;S2
17005988;12.5;V  ;1;2019;GEGM;2021;TLGE2104;S2
17006004;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
17006073;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
17006172;7;NV ;2;2020;GEGM;2021;TLGE2104;S2
17006182;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
17006187;13.5;V  ;1;2019;GEGM;2021;TLGE2104;S2
17006747;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
17007134;10;V  ;2;2018;GEGM;2021;TLGE2104;S2
17007141;15.2;V  ;1;2020;GEGM;2021;TLGE2104;S2
17007653;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
17011867;11.9;V  ;1;2017;GEGM;2021;TLGE2104;S2
18001924;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
18002571;0.5;NV ;2;2020;GEGM;2021;TLGE2104;S2
18002573;12.5;V  ;1;2019;GEGM;2021;TLGE2104;S2
18002636;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
18002639;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
18002645;13;V  ;1;2019;GEGM;2021;TLGE2104;S2
18003096;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
18003129;10;V  ;2;2019;GEGM;2021;TLGE2104;S2
18003171;10;V  ;2;2019;GEGM;2021;TLGE2104;S2
18003241;1.5;NV ;2;2020;GEGM;2021;TLGE2104;S2
18003322;10.5;V  ;1;2019;GEGM;2021;TLGE2104;S2
18003527;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
18003790;10;V  ;2;2019;GEGM;2021;TLGE2104;S2
18003814;10;V  ;1;2019;GEGM;2021;TLGE2104;S2
18003828;10;V  ;2;2018;GEGM;2021;TLGE2104;S2
18003870;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
18003899;10;V  ;2;2019;GEGM;2021;TLGE2104;S2
18004308;10;V  ;2;2019;GEGM;2021;TLGE2104;S2
18004369;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
18004399;10.5;V  ;1;2019;GEGM;2021;TLGE2104;S2
18004501;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
18004529;10;V  ;2;2018;GEGM;2021;TLGE2104;S2
18004724;10;V  ;2;2019;GEGM;2021;TLGE2104;S2
18004748;8.8;AC ;2;2019;GEGM;2021;TLGE2104;S2
18004771;8.2;NV ;2;2020;GEGM;2021;TLGE2104;S2
18005106;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
18005112;15;V  ;1;2019;GEGM;2021;TLGE2104;S2
18005170;7;AC ;2;2020;GEGM;2021;TLGE2104;S2
18005187;14;V  ;1;2019;GEGM;2021;TLGE2104;S2
18005192;10;V  ;2;2019;GEGM;2021;TLGE2104;S2
18005226;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
18005237;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
18005239;10;V  ;2;2019;GEGM;2021;TLGE2104;S2
18005240;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
18005242;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
18005243;13.5;V  ;1;2019;GEGM;2021;TLGE2104;S2
18005247;10.5;V  ;1;2019;GEGM;2021;TLGE2104;S2
18005249;12;V  ;1;2019;GEGM;2021;TLGE2104;S2
18005252;10;V  ;2;2019;GEGM;2021;TLGE2104;S2
18005253;12.5;V  ;1;2019;GEGM;2021;TLGE2104;S2
18005254;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
18005257;14.5;V  ;1;2019;GEGM;2021;TLGE2104;S2
18005267;10;V  ;1;2019;GEGM;2021;TLGE2104;S2
18005274;10;V  ;2;2018;GEGM;2021;TLGE2104;S2
18005402;10;V  ;2;2018;GEGM;2021;TLGE2104;S2
18005425;16.5;V  ;1;2019;GEGM;2021;TLGE2104;S2
18005437;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
18005443;14.5;V  ;1;2019;GEGM;2021;TLGE2104;S2
18005449;10;V  ;2;2019;GEGM;2021;TLGE2104;S2
18005469;10;V  ;2;2019;GEGM;2021;TLGE2104;S2
18005471;10;V  ;1;2019;GEGM;2021;TLGE2104;S2
18005478;1.8;NV ;2;2020;GEGM;2021;TLGE2104;S2
18005494;15;V  ;1;2019;GEGM;2021;TLGE2104;S2
18005521;15;V  ;1;2019;GEGM;2021;TLGE2104;S2
18005530;11.5;V  ;1;2019;GEGM;2021;TLGE2104;S2
18005537;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
18005542;17;V  ;1;2019;GEGM;2021;TLGE2104;S2
18005580;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
18005652;10;V  ;2;2019;GEGM;2021;TLGE2104;S2
18005658;10.2;V  ;1;2019;GEGM;2021;TLGE2104;S2
18005878;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
18005902;11.5;V  ;1;2019;GEGM;2021;TLGE2104;S2
18007787;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
18008920;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
18008922;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
18008941;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
18008943;10;V  ;2;2019;GEGM;2021;TLGE2104;S2
18008951;16;V  ;1;2019;GEGM;2021;TLGE2104;S2
18008964;11.5;V  ;1;2019;GEGM;2021;TLGE2104;S2
18009198;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
18009444;12;V  ;1;2019;GEGM;2021;TLGE2104;S2
18009595;10;V  ;2;2018;GEGM;2021;TLGE2104;S2
18009803;10;V  ;1;2019;GEGM;2021;TLGE2104;S2
18009939;11;V  ;1;2019;GEGM;2021;TLGE2104;S2
18010548;10;V  ;2;2019;GEGM;2021;TLGE2104;S2
18011566;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
18011673;10;V  ;2;2019;GEGM;2021;TLGE2104;S2
18012389;12.5;V  ;1;2020;GEGM;2021;TLGE2104;S2
18012813;12;V  ;1;2019;GEGM;2021;TLGE2104;S2
18013401;12.5;V  ;1;2019;GEGM;2021;TLGE2104;S2
19000563;13;V  ;1;2019;GEGM;2021;TLGE2104;S2
19000576;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
19000597;10;V  ;2;2019;GEGM;2021;TLGE2104;S2
19000645;13.5;V  ;1;2019;GEGM;2021;TLGE2104;S2
19000649;9.5;AC ;2;2019;GEGM;2021;TLGE2104;S2
19000653;10.2;V  ;1;2019;GEGM;2021;TLGE2104;S2
19000656;11.5;V  ;1;2019;GEGM;2021;TLGE2104;S2
19000695;10;V  ;1;2019;GEGM;2021;TLGE2104;S2
19000720;10;V  ;2;2019;GEGM;2021;TLGE2104;S2
19000723;11.2;V  ;1;2019;GEGM;2021;TLGE2104;S2
19000744;15;V  ;1;2019;GEGM;2021;TLGE2104;S2
19000749;15;V  ;1;2019;GEGM;2021;TLGE2104;S2
19000762;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
19000763;11;V  ;1;2019;GEGM;2021;TLGE2104;S2
19000765;12.5;V  ;1;2019;GEGM;2021;TLGE2104;S2
19000785;12.5;V  ;1;2019;GEGM;2021;TLGE2104;S2
19000791;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
19001555;0;NRA;1;2020;GEGM;2021;TLGE2104;S2
19001567;10;V  ;2;2019;GEGM;2021;TLGE2104;S2
19001568;10.5;V  ;1;2019;GEGM;2021;TLGE2104;S2
19002146;14.5;V  ;1;2019;GEGM;2021;TLGE2104;S2
19002272;12;V  ;1;2019;GEGM;2021;TLGE2104;S2
19002284;12;V  ;1;2019;GEGM;2021;TLGE2104;S2
