COD_ETU;Note : TLGE4104;RÃ©sultat : TLGE4104;Session : TLGE4104;AnnÃ©e : TLGE4104;Filière;Année;Module;Semestre
14000545;10.5;V  ;1;2019;GEGM;2021;TLGE4104;S4
15000649;15.8;V  ;1;2019;GEGM;2021;TLGE4104;S4
15000874;10,425;V  ;1;2020;GEGM;2021;TLGE4104;S4
15001074;10.9;V  ;1;2019;GEGM;2021;TLGE4104;S4
15001763;13.6;V  ;1;2019;GEGM;2021;TLGE4104;S4
15004320;0;NRA;1;2020;GEGM;2021;TLGE4104;S4
15004538;10;V  ;1;2019;GEGM;2021;TLGE4104;S4
15004586;10,023;V  ;1;2018;GEGM;2021;TLGE4104;S4
15004622;13,145;V  ;1;2018;GEGM;2021;TLGE4104;S4
15005607;9,575;NV ;2;2020;GEGM;2021;TLGE4104;S4
15005614;0;NRA;1;2020;GEGM;2021;TLGE4104;S4
15005797;14.1;V  ;1;2020;GEGM;2021;TLGE4104;S4
15007511;0;NRA;1;2020;GEGM;2021;TLGE4104;S4
15008226;0;NRA;1;2020;GEGM;2021;TLGE4104;S4
16000364;10;V  ;2;2018;GEGM;2021;TLGE4104;S4
16000611;17,425;V  ;1;2019;GEGM;2021;TLGE4104;S4
16000621;0;NRA;1;2020;GEGM;2021;TLGE4104;S4
16000658;9.3;AC ;2;2019;GEGM;2021;TLGE4104;S4
16000747;0;NRA;1;2020;GEGM;2021;TLGE4104;S4
16000792;;;;;GEGM;2021;TLGE4104;S4
16001390;12.6;V  ;1;2019;GEGM;2021;TLGE4104;S4
16001403;15.3;V  ;1;2019;GEGM;2021;TLGE4104;S4
16001414;0;NRA;1;2020;GEGM;2021;TLGE4104;S4
16001481;10;V  ;2;2018;GEGM;2021;TLGE4104;S4
16001542;;;;;GEGM;2021;TLGE4104;S4
16001637;13.1;V  ;1;2019;GEGM;2021;TLGE4104;S4
16001719;9.3;AC ;2;2019;GEGM;2021;TLGE4104;S4
16001787;10.4;V  ;1;2018;GEGM;2021;TLGE4104;S4
16001814;11.8;V  ;1;2019;GEGM;2021;TLGE4104;S4
16001818;10;V  ;2;2018;GEGM;2021;TLGE4104;S4
16001824;;;;;GEGM;2021;TLGE4104;S4
16001861;7;AC ;2;2019;GEGM;2021;TLGE4104;S4
16001867;7.2;AC ;2;2020;GEGM;2021;TLGE4104;S4
16001876;10;V  ;2;2020;GEGM;2021;TLGE4104;S4
16001885;13,325;V  ;1;2019;GEGM;2021;TLGE4104;S4
16003799;15.1;V  ;1;2019;GEGM;2021;TLGE4104;S4
16005460;;;;;GEGM;2021;TLGE4104;S4
16005470;13.6;V  ;1;2019;GEGM;2021;TLGE4104;S4
16005549;0;NRA;1;2020;GEGM;2021;TLGE4104;S4
16005932;;;;;GEGM;2021;TLGE4104;S4
16006053;;;;;GEGM;2021;TLGE4104;S4
16008526;10,015;V  ;1;2018;GEGM;2021;TLGE4104;S4
17004822;0;NRA;1;2020;GEGM;2021;TLGE4104;S4
17004828;15.1;V  ;1;2019;GEGM;2021;TLGE4104;S4
17005032;13.7;V  ;1;2019;GEGM;2021;TLGE4104;S4
17005048;10;V  ;2;2018;GEGM;2021;TLGE4104;S4
17005056;;;;;GEGM;2021;TLGE4104;S4
17005059;0;NRA;1;2020;GEGM;2021;TLGE4104;S4
17005072;12.6;V  ;1;2019;GEGM;2021;TLGE4104;S4
17005238;0;NRA;1;2020;GEGM;2021;TLGE4104;S4
17005331;7;AC ;2;2020;GEGM;2021;TLGE4104;S4
17005340;10;V  ;2;2018;GEGM;2021;TLGE4104;S4
17005415;13.3;V  ;1;2019;GEGM;2021;TLGE4104;S4
17005420;13.7;V  ;1;2019;GEGM;2021;TLGE4104;S4
17005512;0;NRA;1;2020;GEGM;2021;TLGE4104;S4
17005526;12.6;V  ;1;2019;GEGM;2021;TLGE4104;S4
17005537;;;;;GEGM;2021;TLGE4104;S4
17005727;15.5;V  ;1;2019;GEGM;2021;TLGE4104;S4
17005741;8,625;AC ;2;2020;GEGM;2021;TLGE4104;S4
17005788;12,525;V  ;1;2019;GEGM;2021;TLGE4104;S4
17005796;9,025;AC ;2;2020;GEGM;2021;TLGE4104;S4
17005974;15;V  ;1;2019;GEGM;2021;TLGE4104;S4
17005986;10;V  ;2;2018;GEGM;2021;TLGE4104;S4
17005988;0;NRA;1;2020;GEGM;2021;TLGE4104;S4
17005991;16.8;V  ;1;2019;GEGM;2021;TLGE4104;S4
17006004;;;;;GEGM;2021;TLGE4104;S4
17006070;16.3;V  ;1;2019;GEGM;2021;TLGE4104;S4
17006073;0;NRA;1;2020;GEGM;2021;TLGE4104;S4
17006076;8;AC ;2;2020;GEGM;2021;TLGE4104;S4
17006144;10,075;V  ;1;2020;GEGM;2021;TLGE4104;S4
17006151;14.8;V  ;1;2020;GEGM;2021;TLGE4104;S4
17006156;11.8;V  ;1;2019;GEGM;2021;TLGE4104;S4
17006158;10,025;V  ;1;2020;GEGM;2021;TLGE4104;S4
17006171;0;NRA;1;2020;GEGM;2021;TLGE4104;S4
17006172;;;;;GEGM;2021;TLGE4104;S4
17006174;10;V  ;2;2020;GEGM;2021;TLGE4104;S4
17006182;;;;;GEGM;2021;TLGE4104;S4
17006187;8.9;NV ;2;2020;GEGM;2021;TLGE4104;S4
17006259;7;AC ;2;2020;GEGM;2021;TLGE4104;S4
17006286;15,575;V  ;1;2019;GEGM;2021;TLGE4104;S4
17006288;12.8;V  ;1;2019;GEGM;2021;TLGE4104;S4
17006298;7,325;AC ;2;2020;GEGM;2021;TLGE4104;S4
17006311;11,275;V  ;1;2020;GEGM;2021;TLGE4104;S4
17006325;10.6;V  ;1;2019;GEGM;2021;TLGE4104;S4
17007134;13.9;V  ;1;2019;GEGM;2021;TLGE4104;S4
17007141;;;;;GEGM;2021;TLGE4104;S4
17007653;;;;;GEGM;2021;TLGE4104;S4
17007763;15.3;V  ;1;2019;GEGM;2021;TLGE4104;S4
17010738;0;NRA;1;2020;GEGM;2021;TLGE4104;S4
17011867;0;NRA;1;2020;GEGM;2021;TLGE4104;S4
18001837;11.6;V  ;1;2019;GEGM;2021;TLGE4104;S4
18001924;;;;;GEGM;2021;TLGE4104;S4
18001931;8.6;AC ;2;2020;GEGM;2021;TLGE4104;S4
18001952;11,575;V  ;1;2020;GEGM;2021;TLGE4104;S4
18002320;7;AC ;2;2020;GEGM;2021;TLGE4104;S4
18002333;15,325;V  ;1;2019;GEGM;2021;TLGE4104;S4
18002344;16,525;V  ;1;2020;GEGM;2021;TLGE4104;S4
18002571;2.1;NV ;2;2020;GEGM;2021;TLGE4104;S4
18002573;4;NV ;2;2020;GEGM;2021;TLGE4104;S4
18002591;7;AC ;2;2020;GEGM;2021;TLGE4104;S4
18002605;14.7;V  ;1;2019;GEGM;2021;TLGE4104;S4
18002614;14.8;V  ;1;2019;GEGM;2021;TLGE4104;S4
18002636;;;;;GEGM;2021;TLGE4104;S4
18002639;;;;;GEGM;2021;TLGE4104;S4
18002645;7.8;NV ;2;2020;GEGM;2021;TLGE4104;S4
18002976;7,025;AC ;2;2020;GEGM;2021;TLGE4104;S4
18003096;;;;;GEGM;2021;TLGE4104;S4
18003129;5.1;NV ;2;2020;GEGM;2021;TLGE4104;S4
18003171;8.5;NV ;2;2020;GEGM;2021;TLGE4104;S4
18003241;9,025;NV ;2;2020;GEGM;2021;TLGE4104;S4
18003277;10;V  ;2;2019;GEGM;2021;TLGE4104;S4
18003322;0;NRA;1;2020;GEGM;2021;TLGE4104;S4
18003527;;;;;GEGM;2021;TLGE4104;S4
18003577;16;V  ;1;2020;GEGM;2021;TLGE4104;S4
18003758;14.9;V  ;1;2019;GEGM;2021;TLGE4104;S4
18003790;3.9;NV ;2;2020;GEGM;2021;TLGE4104;S4
18003804;10.2;V  ;1;2020;GEGM;2021;TLGE4104;S4
18003811;7;AC ;2;2020;GEGM;2021;TLGE4104;S4
18003814;8;NV ;2;2020;GEGM;2021;TLGE4104;S4
18003817;8;AC ;2;2020;GEGM;2021;TLGE4104;S4
18003826;10.2;V  ;1;2019;GEGM;2021;TLGE4104;S4
18003828;14.1;V  ;1;2019;GEGM;2021;TLGE4104;S4
18003833;12.4;V  ;1;2020;GEGM;2021;TLGE4104;S4
18003859;15,025;V  ;1;2020;GEGM;2021;TLGE4104;S4
18003870;;;;;GEGM;2021;TLGE4104;S4
18003873;0;NRA;1;2020;GEGM;2021;TLGE4104;S4
18003882;10;V  ;2;2020;GEGM;2021;TLGE4104;S4
18003899;11.2;V  ;1;2020;GEGM;2021;TLGE4104;S4
18003914;14,225;V  ;1;2019;GEGM;2021;TLGE4104;S4
18004225;10;V  ;2;2020;GEGM;2021;TLGE4104;S4
