COD_ETU;Note : TLMI4604;RÃ©sultat : TLMI4604;Session : TLMI4604;AnnÃ©e : TLMI4604;Filière;Année;Module;Semestre
16000386;0;NRA;1;2020;MIP;2021;TLMI4604;S4
16000386;0;NV ;2;2020;MIP;2020;TLMI3004;S3
16000603;8,771;NV ;2;2020;MIP;2020;TLMI3004;S3
16000636;12,896;V  ;2;2020;MIP;2020;TLMI3004;S3
16000831;11,063;V  ;1;2020;MIP;2020;TLMI3004;S3
16000866;10,142;V  ;2;2020;MIP;2020;TLMI3004;S3
16000970;9,975;AC ;2;2020;MIP;2020;TLMI3004;S3
16001082;0;NV ;2;2020;MIP;2020;TLMI3004;S3
16001153;8,458;NV ;2;2020;MIP;2020;TLMI3004;S3
16001233;8,292;NV ;2;2020;MIP;2020;TLMI3004;S3
16001328;8,875;NV ;2;2020;MIP;2020;TLMI3004;S3
16001358;10,013;V  ;2;2020;MIP;2020;TLMI3004;S3
16001418;8,417;NV ;2;2020;MIP;2020;TLMI3004;S3
16001529;6,808;NV ;2;2020;MIP;2020;TLMI3004;S3
16001661;5,092;NV ;2;2020;MIP;2020;TLMI3004;S3
16001999;7,667;NV ;2;2020;MIP;2020;TLMI3004;S3
16002056;7,821;NV ;2;2020;MIP;2020;TLMI3004;S3
16004163;10,804;V  ;2;2020;MIP;2020;TLMI3004;S3
16005397;8,515;NV ;2;2020;MIP;2020;TLMI3004;S3
16005554;;;1;2020;MIP;2020;TLMI3004;S3
17000924;10,425;V  ;2;2020;MIP;2020;TLMI3004;S3
17002059;8,575;NV ;2;2020;MIP;2020;TLMI3004;S3
17002457;9,833;AC ;2;2020;MIP;2020;TLMI3004;S3
17004263;10,983;V  ;2;2020;MIP;2020;TLMI3004;S3
17004774;7,333;NV ;2;2020;MIP;2020;TLMI3004;S3
17005751;10,169;V  ;2;2020;MIP;2020;TLMI3004;S3
17005966;0;NV ;2;2020;MIP;2020;TLMI3004;S3
17006009;;;1;2020;MIP;2020;TLMI3004;S3
17006032;11,914;V  ;1;2019;MIP;2020;TLMI3004;S3
17006196;;;1;2020;MIP;2020;TLMI3004;S3
17006200;5,133;NV ;2;2020;MIP;2020;TLMI3004;S3
17006271;10,158;NV ;2;2020;MIP;2020;TLMI3004;S3
17006307;12,154;V  ;1;2020;MIP;2020;TLMI3004;S3
17006316;12,442;V  ;1;2020;MIP;2020;TLMI3004;S3
17006327;10,292;V  ;2;2020;MIP;2020;TLMI3004;S3
17006339;10,519;V  ;2;2020;MIP;2020;TLMI3004;S3
17006345;9,667;AC ;2;2020;MIP;2020;TLMI3004;S3
17006351;9,125;NV ;2;2020;MIP;2020;TLMI3004;S3
17006390;11,896;V  ;2;2020;MIP;2020;TLMI3004;S3
17006394;8,958;NV ;2;2020;MIP;2020;TLMI3004;S3
17006399;9,521;NV ;2;2020;MIP;2020;TLMI3004;S3
17006401;7,417;NV ;2;2020;MIP;2020;TLMI3004;S3
17006419;;;1;2020;MIP;2020;TLMI3004;S3
17006427;9,208;NV ;2;2020;MIP;2020;TLMI3004;S3
17006442;10,667;V  ;1;2020;MIP;2020;TLMI3004;S3
17006503;10,283;V  ;2;2020;MIP;2020;TLMI3004;S3
17006514;8,875;NV ;2;2020;MIP;2020;TLMI3004;S3
17006632;;;1;2020;MIP;2020;TLMI3004;S3
17006758;;;1;2020;MIP;2020;TLMI3004;S3
17010720;8,746;NV ;2;2020;MIP;2020;TLMI3004;S3
18002014;12,792;V  ;2;2020;MIP;2020;TLMI3004;S3
18003211;10.2;V  ;2;2020;MIP;2020;TLMI3004;S3
18003719;11,738;V  ;2;2019;MIP;2020;TLMI3004;S3
18003890;;;1;2020;MIP;2020;TLMI3004;S3
18003909;2,292;NV ;2;2020;MIP;2020;TLMI3004;S3
18003921;10,704;V  ;2;2020;MIP;2020;TLMI3004;S3
18003956;10,446;NV ;2;2020;MIP;2020;TLMI3004;S3
18004287;0;NV ;2;2020;MIP;2020;TLMI3004;S3
18004291;11,417;V  ;2;2020;MIP;2020;TLMI3004;S3
18004337;;;1;2020;MIP;2020;TLMI3004;S3
18004367;6,583;NV ;2;2020;MIP;2020;TLMI3004;S3
18004424;;;1;2020;MIP;2020;TLMI3004;S3
18004480;;;1;2020;MIP;2020;TLMI3004;S3
18004557;;;1;2020;MIP;2020;TLMI3004;S3
18004807;12,651;V  ;2;2020;MIP;2020;TLMI3004;S3
18004840;;;1;2020;MIP;2020;TLMI3004;S3
18004860;12,517;V  ;2;2020;MIP;2020;TLMI3004;S3
18004912;13,871;V  ;1;2020;MIP;2020;TLMI3004;S3
18004917;7.2;NV ;2;2020;MIP;2020;TLMI3004;S3
18004952;;;1;2020;MIP;2020;TLMI3004;S3
18005004;6,765;NV ;2;2020;MIP;2020;TLMI3004;S3
18005047;9,542;NV ;2;2020;MIP;2020;TLMI3004;S3
18005070;;;1;2020;MIP;2020;TLMI3004;S3
18005077;12,842;V  ;1;2020;MIP;2020;TLMI3004;S3
18005324;12,125;V  ;2;2020;MIP;2020;TLMI3004;S3
18005343;11,333;V  ;2;2020;MIP;2020;TLMI3004;S3
18005354;;;1;2020;MIP;2020;TLMI3004;S3
18005370;7;NV ;2;2020;MIP;2020;TLMI3004;S3
18005401;7.8;NV ;2;2020;MIP;2020;TLMI3004;S3
18005409;5;NV ;2;2020;MIP;2020;TLMI3004;S3
18005417;8,667;NV ;2;2020;MIP;2020;TLMI3004;S3
18005421;11,548;V  ;1;2020;MIP;2020;TLMI3004;S3
18005430;8,708;NV ;2;2020;MIP;2020;TLMI3004;S3
18005479;;;1;2020;MIP;2020;TLMI3004;S3
18005544;13,042;V  ;2;2020;MIP;2020;TLMI3004;S3
18005750;;;1;2020;MIP;2020;TLMI3004;S3
18005756;;;1;2020;MIP;2020;TLMI3004;S3
18005764;;;1;2020;MIP;2020;TLMI3004;S3
18005838;10,833;V  ;2;2020;MIP;2020;TLMI3004;S3
18005845;10,733;V  ;2;2020;MIP;2020;TLMI3004;S3
18005940;;;1;2020;MIP;2020;TLMI3004;S3
18005960;12.8;V  ;2;2020;MIP;2020;TLMI3004;S3
18006040;10,644;V  ;2;2020;MIP;2020;TLMI3004;S3
18006059;;;1;2020;MIP;2020;TLMI3004;S3
18006092;9,542;AC ;2;2020;MIP;2020;TLMI3004;S3
18006100;10,792;V  ;2;2020;MIP;2020;TLMI3004;S3
18006129;10,117;V  ;2;2020;MIP;2020;TLMI3004;S3
18006139;10,627;V  ;2;2020;MIP;2020;TLMI3004;S3
18006172;10,904;V  ;2;2020;MIP;2020;TLMI3004;S3
18006176;11,946;NV ;2;2020;MIP;2020;TLMI3004;S3
18006180;12,131;V  ;2;2020;MIP;2020;TLMI3004;S3
18006183;12,263;NV ;2;2020;MIP;2020;TLMI3004;S3
18006184;;;1;2020;MIP;2020;TLMI3004;S3
18006186;;;1;2020;MIP;2020;TLMI3004;S3
18006193;11.8;NV ;2;2020;MIP;2020;TLMI3004;S3
18006197;11,858;V  ;2;2020;MIP;2020;TLMI3004;S3
18006203;10.2;V  ;2;2020;MIP;2020;TLMI3004;S3
18006205;;;1;2020;MIP;2020;TLMI3004;S3
18006208;;;1;2020;MIP;2020;TLMI3004;S3
18006210;;;1;2020;MIP;2020;TLMI3004;S3
18006211;11,738;V  ;2;2020;MIP;2020;TLMI3004;S3
18006212;;;1;2020;MIP;2020;TLMI3004;S3
18006213;8,833;NV ;2;2020;MIP;2020;TLMI3004;S3
18006217;7.2;NV ;2;2020;MIP;2020;TLMI3004;S3
18006219;10,917;NV ;2;2020;MIP;2020;TLMI3004;S3
18006220;12,292;V  ;2;2020;MIP;2020;TLMI3004;S3
18006221;4,167;NV ;2;2020;MIP;2020;TLMI3004;S3
18006223;7,542;NV ;2;2020;MIP;2020;TLMI3004;S3
18006911;9,917;AC ;2;2020;MIP;2020;TLMI3004;S3
18007022;13,683;V  ;2;2020;MIP;2020;TLMI3004;S3
18007194;11.8;NV ;2;2020;MIP;2020;TLMI3004;S3
18007298;;;1;2020;MIP;2020;TLMI3004;S3
18007401;;;1;2020;MIP;2020;TLMI3004;S3
18007617;;;1;2020;MIP;2020;TLMI3004;S3
18007643;10.5;V  ;2;2020;MIP;2020;TLMI3004;S3
18007960;8,417;NV ;2;2020;MIP;2020;TLMI3004;S3
18008043;;;1;2020;MIP;2020;TLMI3004;S3
18008962;8,905;NV ;2;2020;MIP;2020;TLMI3004;S3
18008966;;;1;2020;MIP;2020;TLMI3004;S3
18009004;11,925;V  ;2;2020;MIP;2020;TLMI3004;S3
18009008;8.5;NV ;2;2020;MIP;2020;TLMI3004;S3
18009010;;;1;2020;MIP;2020;TLMI3004;S3
18009015;;;1;2020;MIP;2020;TLMI3004;S3
18009016;;;1;2020;MIP;2020;TLMI3004;S3
18009019;11.6;V  ;2;2020;MIP;2020;TLMI3004;S3
18009020;8,008;NV ;2;2020;MIP;2020;TLMI3004;S3
18009027;9,375;NV ;2;2020;MIP;2020;TLMI3004;S3
18009029;13.5;V  ;1;2020;MIP;2020;TLMI3004;S3
18009031;;;1;2020;MIP;2020;TLMI3004;S3
18009093;9,625;NV ;2;2020;MIP;2020;TLMI3004;S3
18009154;;;1;2020;MIP;2020;TLMI3004;S3
18009159;10,083;V  ;2;2020;MIP;2020;TLMI3004;S3
18009169;;;1;2020;MIP;2020;TLMI3004;S3
18009212;;;1;2020;MIP;2020;TLMI3004;S3
18009732;6.2;NV ;2;2020;MIP;2020;TLMI3004;S3
18009804;10,833;V  ;2;2020;MIP;2020;TLMI3004;S3
18009949;10.2;V  ;2;2020;MIP;2020;TLMI3004;S3
18010307;8.5;NV ;2;2020;MIP;2020;TLMI3004;S3
18010364;;;1;2020;MIP;2020;TLMI3004;S3
18010372;10,875;V  ;2;2020;MIP;2020;TLMI3004;S3
18010519;;;1;2020;MIP;2020;TLMI3004;S3
18010520;8,542;NV ;2;2020;MIP;2020;TLMI3004;S3
18010525;;;1;2020;MIP;2020;TLMI3004;S3
18010547;;;1;2020;MIP;2020;TLMI3004;S3
18010592;11,285;V  ;2;2019;MIP;2020;TLMI3004;S3
18010733;10,708;V  ;2;2020;MIP;2020;TLMI3004;S3
18010738;;;1;2020;MIP;2020;TLMI3004;S3
18010743;11,229;V  ;2;2020;MIP;2020;TLMI3004;S3
18010750;11,625;V  ;2;2020;MIP;2020;TLMI3004;S3
18010752;7,696;NV ;2;2020;MIP;2020;TLMI3004;S3
18010755;10,708;V  ;2;2020;MIP;2020;TLMI3004;S3
18010761;13;V  ;2;2020;MIP;2020;TLMI3004;S3
18010765;10,363;V  ;2;2020;MIP;2020;TLMI3004;S3
18010769;4.2;NV ;2;2020;MIP;2020;TLMI3004;S3
18010770;;;1;2020;MIP;2020;TLMI3004;S3
18010771;;;1;2020;MIP;2020;TLMI3004;S3
18010778;;;1;2020;MIP;2020;TLMI3004;S3
18010779;10,167;V  ;2;2020;MIP;2020;TLMI3004;S3
18010780;10,542;V  ;2;2020;MIP;2020;TLMI3004;S3
18010783;12,713;V  ;2;2019;MIP;2020;TLMI3004;S3
18010788;10,417;V  ;2;2020;MIP;2020;TLMI3004;S3
18010805;10,792;V  ;2;2020;MIP;2020;TLMI3004;S3
18010880;12,646;V  ;2;2020;MIP;2020;TLMI3004;S3
18010881;11,708;V  ;2;2019;MIP;2020;TLMI3004;S3
18010888;;;1;2020;MIP;2020;TLMI3004;S3
18010894;13.2;V  ;1;2020;MIP;2020;TLMI3004;S3
18011058;6,833;NV ;2;2020;MIP;2020;TLMI3004;S3
18011062;;;1;2020;MIP;2020;TLMI3004;S3
18011070;10,333;V  ;2;2020;MIP;2020;TLMI3004;S3
18011072;8,942;NV ;2;2020;MIP;2020;TLMI3004;S3
18011546;10,875;V  ;2;2020;MIP;2020;TLMI3004;S3
18011548;;;1;2020;MIP;2020;TLMI3004;S3
18011549;;;1;2020;MIP;2020;TLMI3004;S3
18011567;;;1;2020;MIP;2020;TLMI3004;S3
18011568;8;NV ;2;2020;MIP;2020;TLMI3004;S3
18011569;11,121;V  ;2;2020;MIP;2020;TLMI3004;S3
18011572;10,229;NV ;2;2020;MIP;2020;TLMI3004;S3
18012757;9,917;AC ;2;2020;MIP;2020;TLMI3004;S3
19000843;9,583;NV ;2;2020;MIP;2020;TLMI3004;S3
19000875;;;1;2020;MIP;2020;TLMI3004;S3
19001254;;;1;2020;MIP;2020;TLMI3004;S3
19001305;0;NV ;2;2020;MIP;2020;TLMI3004;S3
19001307;;;1;2020;MIP;2020;TLMI3004;S3
19001385;;;1;2020;MIP;2020;TLMI3004;S3
19001721;10.2;NV ;2;2020;MIP;2020;TLMI3004;S3
19002133;12.5;V  ;2;2020;MIP;2020;TLMI3004;S3
19002293;0;NV ;2;2020;MIP;2020;TLMI3004;S3
19002804;;;1;2020;MIP;2020;TLMI3004;S3
19002811;9;NV ;2;2020;MIP;2020;TLMI3004;S3
19003213;;;1;2020;MIP;2020;TLMI3004;S3
19003667;;;1;2020;MIP;2020;TLMI3004;S3
19004051;10,583;NV ;2;2020;MIP;2020;TLMI3004;S3
19004062;12.2;V  ;2;2020;MIP;2020;TLMI3004;S3
19004101;;;1;2020;MIP;2020;TLMI3004;S3
19004113;;;1;2020;MIP;2020;TLMI3004;S3
19004130;;;1;2020;MIP;2020;TLMI3004;S3
19004155;;;1;2020;MIP;2020;TLMI3004;S3
19004265;;;1;2020;MIP;2020;TLMI3004;S3
19004300;;;1;2020;MIP;2020;TLMI3004;S3
19004313;8,833;NV ;2;2020;MIP;2020;TLMI3004;S3
19004362;;;1;2020;MIP;2020;TLMI3004;S3
19004428;;;1;2020;MIP;2020;TLMI3004;S3
19004473;5.8;NV ;2;2020;MIP;2020;TLMI3004;S3
19004479;7;NV ;2;2020;MIP;2020;TLMI3004;S3
19004483;11,833;V  ;2;2020;MIP;2020;TLMI3004;S3
19004488;;;1;2020;MIP;2020;TLMI3004;S3
19004494;;;1;2020;MIP;2020;TLMI3004;S3
19004511;13,667;V  ;2;2020;MIP;2020;TLMI3004;S3
19004512;;;1;2020;MIP;2020;TLMI3004;S3
19004513;;;1;2020;MIP;2020;TLMI3004;S3
