COD_ETU;Note : TLMP1004;RÃ©sultat : TLMP1004;Session : TLMP1004;AnnÃ©e : TLMP1004;Filière;Année;Module;Semestre
15000272;11,942;V ;1;2020;MIPC;2020;TLMP1004;S1
15002395;7.3;NV;2;2020;MIPC;2020;TLMP1004;S1
15003217;10.1;V ;2;2016;MIPC;2020;TLMP1004;S1
16000767;11,008;V ;2;2017;MIPC;2020;TLMP1004;S1
16000914;8,429;NV;2;2020;MIPC;2020;TLMP1004;S1
16004528;10;V ;2;2020;MIPC;2020;TLMP1004;S1
16007410;10;V ;2;2020;MIPC;2020;TLMP1004;S1
17003807;6,683;NV;2;2020;MIPC;2020;TLMP1004;S1
17005077;8,683;NV;2;2020;MIPC;2020;TLMP1004;S1
17005240;5,417;NV;2;2020;MIPC;2020;TLMP1004;S1
17005366;10,233;V ;2;2017;MIPC;2020;TLMP1004;S1
17005380;8,038;NV;2;2020;MIPC;2020;TLMP1004;S1
17005456;10,396;V ;2;2020;MIPC;2020;TLMP1004;S1
17005612;5,042;NV;2;2020;MIPC;2020;TLMP1004;S1
17005679;12,021;V ;2;2017;MIPC;2020;TLMP1004;S1
17005695;10,271;V ;1;2020;MIPC;2020;TLMP1004;S1
17005770;8,913;NV;2;2020;MIPC;2020;TLMP1004;S1
17005780;7,542;NV;2;2020;MIPC;2020;TLMP1004;S1
17005810;10.3;NV;2;2020;MIPC;2020;TLMP1004;S1
17005824;10,583;V ;2;2020;MIPC;2020;TLMP1004;S1
17005877;10;NV;2;2020;MIPC;2020;TLMP1004;S1
17006869;12,467;V ;2;2020;MIPC;2020;TLMP1004;S1
17007757;10,917;V ;1;2020;MIPC;2020;TLMP1004;S1
17007758;10,279;V ;2;2020;MIPC;2020;TLMP1004;S1
17007981;5,008;NV;2;2020;MIPC;2020;TLMP1004;S1
17011572;10;V ;2;2020;MIPC;2020;TLMP1004;S1
18002553;10,083;V ;2;2018;MIPC;2020;TLMP1004;S1
18002622;11,167;V ;2;2020;MIPC;2020;TLMP1004;S1
18002663;0;NV;2;2020;MIPC;2020;TLMP1004;S1
18002675;5,667;NV;2;2020;MIPC;2020;TLMP1004;S1
18002696;7.5;NV;2;2020;MIPC;2020;TLMP1004;S1
18002705;11,417;V ;2;2020;MIPC;2020;TLMP1004;S1
18002712;6,783;NV;2;2020;MIPC;2020;TLMP1004;S1
18002929;10;V ;1;2020;MIPC;2020;TLMP1004;S1
18002965;7,667;NV;2;2020;MIPC;2020;TLMP1004;S1
18002988;0;NV;2;2020;MIPC;2020;TLMP1004;S1
18003076;10,258;NV;2;2020;MIPC;2020;TLMP1004;S1
18003107;7.5;NV;2;2020;MIPC;2020;TLMP1004;S1
18003111;13,025;V ;1;2020;MIPC;2020;TLMP1004;S1
18003302;0;NV;2;2020;MIPC;2020;TLMP1004;S1
18003319;4,146;NV;2;2020;MIPC;2020;TLMP1004;S1
18003407;4,521;NV;2;2020;MIPC;2020;TLMP1004;S1
18003531;10.8;V ;2;2020;MIPC;2020;TLMP1004;S1
18003538;10,333;V ;2;2020;MIPC;2020;TLMP1004;S1
18003574;12,063;V ;2;2020;MIPC;2020;TLMP1004;S1
18003777;9,492;NV;2;2020;MIPC;2020;TLMP1004;S1
18003837;10,725;V ;2;2020;MIPC;2020;TLMP1004;S1
18003892;10.6;V ;2;2020;MIPC;2020;TLMP1004;S1
18003958;10,792;V ;2;2020;MIPC;2020;TLMP1004;S1
18003967;8.2;NV;2;2020;MIPC;2020;TLMP1004;S1
18003985;10,004;V ;2;2020;MIPC;2020;TLMP1004;S1
18003990;3,333;NV;2;2020;MIPC;2020;TLMP1004;S1
18003992;10,425;V ;1;2020;MIPC;2020;TLMP1004;S1
18003999;11.2;V ;2;2020;MIPC;2020;TLMP1004;S1
18004007;7,833;NV;2;2020;MIPC;2020;TLMP1004;S1
18004010;10,642;V ;2;2020;MIPC;2020;TLMP1004;S1
18004026;8.5;NV;2;2020;MIPC;2020;TLMP1004;S1
18004481;9;NV;2;2020;MIPC;2020;TLMP1004;S1
18004523;10;V ;2;2020;MIPC;2020;TLMP1004;S1
18004540;10;V ;2;2020;MIPC;2020;TLMP1004;S1
18004652;10,642;V ;2;2020;MIPC;2020;TLMP1004;S1
18004705;10,013;V ;2;2020;MIPC;2020;TLMP1004;S1
18004793;11,179;V ;2;2020;MIPC;2020;TLMP1004;S1
