COD_ETU;Note : TLBC4404;RÃ©sultat : TLBC4404;Session : TLBC4404;AnnÃ©e : TLBC4404;Filière;Année;Module;Semestre
9007198;;;;;BCG;2016;TLBC4404;S4
9007198;;;;;BCG;2016;TLBC4304;S4
10009177;0;NRA;1;2015;BCG;2016;TLBC4304;S4
10009488;0;NRA;1;2015;BCG;2016;TLBC4304;S4
10048467;;;;;BCG;2016;TLBC4304;S4
10048490;0;NRA;1;2015;BCG;2016;TLBC4304;S4
10048665;10;V  ;2;2014;BCG;2016;TLBC4304;S4
10048675;0;NRA;1;2015;BCG;2016;TLBC4304;S4
10048740;0;NRA;1;2015;BCG;2016;TLBC4304;S4
10048743;0;NRA;1;2015;BCG;2016;TLBC4304;S4
11010373;;;;;BCG;2016;TLBC4304;S4
11011713;;;;;BCG;2016;TLBC4304;S4
11012566;10.6;V  ;1;2015;BCG;2016;TLBC4304;S4
11012827;12.2;V  ;1;2015;BCG;2016;TLBC4304;S4
11013259;;;;;BCG;2016;TLBC4304;S4
11013282;0;NRA;1;2015;BCG;2016;TLBC4304;S4
11013286;0;NRA;1;2015;BCG;2016;TLBC4304;S4
11013295;;;;;BCG;2016;TLBC4304;S4
11013299;0;NRA;1;2015;BCG;2016;TLBC4304;S4
11013303;1,725;NRA;1;2015;BCG;2016;TLBC4304;S4
12005831;3.8;NRA;1;2015;BCG;2016;TLBC4304;S4
12006095;0;NRA;1;2015;BCG;2016;TLBC4304;S4
12006411;0;NRA;1;2015;BCG;2016;TLBC4304;S4
12006494;;;;;BCG;2016;TLBC4304;S4
12006798;7.7;NV ;2;2015;BCG;2016;TLBC4304;S4
12007338;10;V  ;2;2014;BCG;2016;TLBC4304;S4
12008132;;;;;BCG;2016;TLBC4304;S4
12010824;4.3;NRA;1;2015;BCG;2016;TLBC4304;S4
12010910;5.2;NV ;2;2015;BCG;2016;TLBC4304;S4
12011050;8,761;AC ;2;2015;BCG;2016;TLBC4304;S4
12011067;10;V  ;2;2014;BCG;2016;TLBC4304;S4
12011098;7.2;AC ;2;2015;BCG;2016;TLBC4304;S4
12011101;;;;;BCG;2016;TLBC4304;S4
12011115;0;NRA;1;2015;BCG;2016;TLBC4304;S4
12011118;3.8;NRA;1;2015;BCG;2016;TLBC4304;S4
12011128;0;NRA;1;2015;BCG;2016;TLBC4304;S4
12011130;;;;;BCG;2016;TLBC4304;S4
12011135;;;;;BCG;2016;TLBC4304;S4
12011156;0;NRA;1;2015;BCG;2016;TLBC4304;S4
12011178;;;;;BCG;2016;TLBC4304;S4
