COD_ETU;Note : TLGE4104;RÃ©sultat : TLGE4104;Session : TLGE4104;AnnÃ©e : TLGE4104;Filière;Année;Module;Semestre
10010055;0;NRA;1;2015;GEGM;2016;TLGE4104;S4
10048488;2.5;NRA;1;2015;GEGM;2016;TLGE4104;S4
10048648;0;NRA;1;2015;GEGM;2016;TLGE4104;S4
10048680;3,075;NRA;1;2015;GEGM;2016;TLGE4104;S4
10048683;7,975;AC ;2;2015;GEGM;2016;TLGE4104;S4
10048707;;;;;GEGM;2016;TLGE4104;S4
10048722;;;;;GEGM;2016;TLGE4104;S4
10048737;7;AC ;2;2015;GEGM;2016;TLGE4104;S4
10048752;0;NRA;1;2015;GEGM;2016;TLGE4104;S4
10048754;5,038;NV ;2;2015;GEGM;2016;TLGE4104;S4
11010738;5,975;NV ;2;2015;GEGM;2016;TLGE4104;S4
11011891;0;NRA;1;2015;GEGM;2016;TLGE4104;S4
11012531;2,475;NRA;1;2015;GEGM;2016;TLGE4104;S4
11012544;;;;;GEGM;2016;TLGE4104;S4
11012552;0;NRA;1;2015;GEGM;2016;TLGE4104;S4
11012553;7;AC ;2;2015;GEGM;2016;TLGE4104;S4
11012556;0;NRA;1;2015;GEGM;2016;TLGE4104;S4
11012941;10,275;V  ;1;2015;GEGM;2016;TLGE4104;S4
11013302;0;NRA;1;2015;GEGM;2016;TLGE4104;S4
11013318;;;;;GEGM;2016;TLGE4104;S4
11013346;10;V  ;2;2014;GEGM;2016;TLGE4104;S4
11013349;7;NV ;2;2015;GEGM;2016;TLGE4104;S4
11013510;2.9;NRA;1;2015;GEGM;2016;TLGE4104;S4
11013773;7;AC ;2;2015;GEGM;2016;TLGE4104;S4
11013928;7;AC ;2;2015;GEGM;2016;TLGE4104;S4
11015208;7;AC ;2;2015;GEGM;2016;TLGE4104;S4
12009157;;;;;GEGM;2016;TLGE4104;S4
12010889;1.4;NRA;1;2015;GEGM;2016;TLGE4104;S4
12011019;7;AC ;2;2015;GEGM;2016;TLGE4104;S4
12011023;0;NRA;1;2015;GEGM;2016;TLGE4104;S4
12011025;0;NRA;1;2015;GEGM;2016;TLGE4104;S4
12011032;10.1;V  ;1;2015;GEGM;2016;TLGE4104;S4
12011046;0;NRA;1;2015;GEGM;2016;TLGE4104;S4
12011049;5.1;NV ;2;2015;GEGM;2016;TLGE4104;S4
12011056;14.5;V  ;1;2014;GEGM;2016;TLGE4104;S4
12011174;;;;;GEGM;2016;TLGE4104;S4
12011188;2,025;NRA;1;2015;GEGM;2016;TLGE4104;S4
12011190;7;AC ;2;2015;GEGM;2016;TLGE4104;S4
12011195;10.4;V  ;1;2015;GEGM;2016;TLGE4104;S4
12011202;2,925;NRA;1;2015;GEGM;2016;TLGE4104;S4
12011218;7.3;AC ;2;2014;GEGM;2016;TLGE4104;S4
12011232;7;AC ;2;2015;GEGM;2016;TLGE4104;S4
12011263;10;V  ;2;2014;GEGM;2016;TLGE4104;S4
12011268;0;NRA;1;2015;GEGM;2016;TLGE4104;S4
12011270;;;;;GEGM;2016;TLGE4104;S4
12011281;7.9;AC ;2;2015;GEGM;2016;TLGE4104;S4
12011289;;;;;GEGM;2016;TLGE4104;S4
12011305;0;NRA;1;2015;GEGM;2016;TLGE4104;S4
12011306;8.8;AC ;2;2015;GEGM;2016;TLGE4104;S4
12011309;3,375;NRA;1;2015;GEGM;2016;TLGE4104;S4
12011317;;;;;GEGM;2016;TLGE4104;S4
12011363;10.3;V  ;1;2015;GEGM;2016;TLGE4104;S4
12011394;0;NRA;1;2015;GEGM;2016;TLGE4104;S4
12011399;;;;;GEGM;2016;TLGE4104;S4
12011403;0;NRA;1;2015;GEGM;2016;TLGE4104;S4
12011404;8.8;AC ;2;2014;GEGM;2016;TLGE4104;S4
12011407;0;NRA;1;2015;GEGM;2016;TLGE4104;S4
12012155;7.7;AC ;2;2015;GEGM;2016;TLGE4104;S4
12012919;6.3;NV ;2;2015;GEGM;2016;TLGE4104;S4
12012921;6.2;NV ;2;2015;GEGM;2016;TLGE4104;S4
13011488;11.3;V  ;1;2015;GEGM;2016;TLGE4104;S4
13012024;11.3;V  ;1;2014;GEGM;2016;TLGE4104;S4
13012477;5.2;NV ;2;2015;GEGM;2016;TLGE4104;S4
13012497;7;AC ;2;2015;GEGM;2016;TLGE4104;S4
13012740;10.4;V  ;1;2015;GEGM;2016;TLGE4104;S4
13012804;8,675;NV ;2;2015;GEGM;2016;TLGE4104;S4
13012832;2,625;NRA;1;2015;GEGM;2016;TLGE4104;S4
13012851;7;AC ;2;2015;GEGM;2016;TLGE4104;S4
13012870;7.5;AC ;2;2015;GEGM;2016;TLGE4104;S4
13012878;7;AC ;2;2015;GEGM;2016;TLGE4104;S4
13013005;10.2;V  ;1;2014;GEGM;2016;TLGE4104;S4
13013116;12,775;V  ;1;2015;GEGM;2016;TLGE4104;S4
13013133;5;NV ;2;2015;GEGM;2016;TLGE4104;S4
13013134;10;V  ;2;2015;GEGM;2016;TLGE4104;S4
13013137;5;NV ;2;2015;GEGM;2016;TLGE4104;S4
13013145;7.2;AC ;2;2015;GEGM;2016;TLGE4104;S4
13013152;6.6;NV ;2;2015;GEGM;2016;TLGE4104;S4
13013162;2,925;NRA;1;2015;GEGM;2016;TLGE4104;S4
13013186;;;;;GEGM;2016;TLGE4104;S4
13013187;0;NRA;1;2015;GEGM;2016;TLGE4104;S4
13013225;10.6;V  ;1;2015;GEGM;2016;TLGE4104;S4
13013290;0;NRA;1;2015;GEGM;2016;TLGE4104;S4
13013295;7;AC ;2;2015;GEGM;2016;TLGE4104;S4
13013302;0;NRA;1;2015;GEGM;2016;TLGE4104;S4
13013306;0;NRA;1;2015;GEGM;2016;TLGE4104;S4
13013319;8;AC ;2;2015;GEGM;2016;TLGE4104;S4
13013330;7;AC ;2;2015;GEGM;2016;TLGE4104;S4
13013345;;;;;GEGM;2016;TLGE4104;S4
13013370;2.2;NRA;1;2015;GEGM;2016;TLGE4104;S4
13013403;;;;;GEGM;2016;TLGE4104;S4
13013449;2,025;NRA;1;2015;GEGM;2016;TLGE4104;S4
13013500;7;AC ;2;2015;GEGM;2016;TLGE4104;S4
13013515;6,225;NV ;2;2015;GEGM;2016;TLGE4104;S4
13013543;3,575;NRA;1;2015;GEGM;2016;TLGE4104;S4
13013574;7;AC ;2;2015;GEGM;2016;TLGE4104;S4
13013573;8;AC ;2;2015;GEGM;2016;TLGE4104;S4
13013575;0;NRA;1;2015;GEGM;2016;TLGE4104;S4
13013605;4;NRA;1;2015;GEGM;2016;TLGE4104;S4
13013633;3.1;NRA;1;2015;GEGM;2016;TLGE4104;S4
13013691;;;;;GEGM;2016;TLGE4104;S4
13013701;12,784;V  ;1;2015;GEGM;2016;TLGE4104;S4
13013703;;;;;GEGM;2016;TLGE4104;S4
13013722;11.2;V  ;1;2014;GEGM;2016;TLGE4104;S4
13013748;11.4;V  ;1;2015;GEGM;2016;TLGE4104;S4
13013772;1,125;NRA;1;2015;GEGM;2016;TLGE4104;S4
13013788;7;AC ;2;2015;GEGM;2016;TLGE4104;S4
13013839;;;;;GEGM;2016;TLGE4104;S4
13013841;;;;;GEGM;2016;TLGE4104;S4
13013902;7;AC ;2;2015;GEGM;2016;TLGE4104;S4
13013911;10;V  ;2;2015;GEGM;2016;TLGE4104;S4
13013925;7,125;AC ;2;2015;GEGM;2016;TLGE4104;S4
13013927;7;AC ;2;2014;GEGM;2016;TLGE4104;S4
13013928;3.8;NRA;1;2015;GEGM;2016;TLGE4104;S4
13013929;5,075;NV ;2;2015;GEGM;2016;TLGE4104;S4
13013931;;;;;GEGM;2016;TLGE4104;S4
13013934;4.3;NRA;1;2015;GEGM;2016;TLGE4104;S4
13013935;7;NV ;2;2015;GEGM;2016;TLGE4104;S4
13013936;5.7;NV ;2;2015;GEGM;2016;TLGE4104;S4
13013937;10,125;V  ;1;2015;GEGM;2016;TLGE4104;S4
13013939;10;V  ;2;2014;GEGM;2016;TLGE4104;S4
13013940;8,225;AC ;2;2015;GEGM;2016;TLGE4104;S4
13013941;5,725;NV ;2;2015;GEGM;2016;TLGE4104;S4
13013942;10;V  ;2;2014;GEGM;2016;TLGE4104;S4
13013943;;;;;GEGM;2016;TLGE4104;S4
13013944;7;AC ;2;2015;GEGM;2016;TLGE4104;S4
13013945;6.1;NV ;2;2015;GEGM;2016;TLGE4104;S4
13013950;7;AC ;2;2015;GEGM;2016;TLGE4104;S4
13013958;7.7;AC ;2;2014;GEGM;2016;TLGE4104;S4
