COD_ETU,Note : TLBC3104,Résultat : TLBC3104,Session : TLBC3104,Année : TLBC3104,Note : TLBC3204,Résultat : TLBC3204,Session : TLBC3204,Année : TLBC3204,Note : TLBC3304,Résultat : TLBC3304,Session : TLBC3304,Année : TLBC3304,Note : TLBC3404,Résultat : TLBC3404,Session : TLBC3404,Année : TLBC3404,Note : TLBC3504,Résultat : TLBC3504,Session : TLBC3504,Année : TLBC3504,Note : TLBC3604,Résultat : TLBC3604,Session : TLBC3604,Année : TLBC3604,Note : TLBC3004,Résultat : TLBC3004,Session : TLBC3004,Année : TLBC3004,Note : TLBC4104,Résultat : TLBC4104,Session : TLBC4104,Année : TLBC4104,Note : TLBC4204,Résultat : TLBC4204,Session : TLBC4204,Année : TLBC4204,Note : TLBC4304,Résultat : TLBC4304,Session : TLBC4304,Année : TLBC4304,Note : TLBC4404,Résultat : TLBC4404,Session : TLBC4404,Année : TLBC4404,Note : TLBC4504,Résultat : TLBC4504,Session : TLBC4504,Année : TLBC4504,Note : TLBC4604,Résultat : TLBC4604,Session : TLBC4604,Année : TLBC4604,Note : TLBC4004,Résultat : TLBC4004,Session : TLBC4004,Année : TLBC4004
12011598,11375,V,1,2015,8.3,AC,2,2013,12.2,V,1,2013,.8,NRA,1,2019,1.25,NRA,1,2019,2.4,NRA,1,2019,6054,NV,2,2019,14.5,V,1,2019,12.6,V,1,2019,18,V,1,2019,10,V,2,2016,10.75,V,1,2019,11,V,1,2018,12808,V,1,2019
13010634,10,V,2,2018,10,V,2,2016,10025,V,1,2017,14.8,V,1,2019,10,V,1,2018,7,AC,2,2019,10304,V,2,2019,10,V,2,2018,10,V,2,2018,10,V,2,2017,10,V,2,2018,10,V,2,2016,10,V,2,2014,10,V,2,2018
13012469,10688,V,1,2019,10301,V,1,2018,10.4,V,1,2016,15.1,V,1,2019,4,NRA,1,2019,.3,NRA,1,2019,8465,NV,2,2019,10,V,1,2019,15,V,1,2019,12.2,V,1,2019,17,V,1,2019,10,V,2,2016,12.5,V,1,2014,12783,V,1,2019
13012823,0,NRA,1,2019,10,V,2,2018,12.9,V,1,2015,10,V,2,2018,10,V,2,2016,0,NRA,1,2019,7.15,NV,2,2019,9682,AC,2,2016,10,V,2,2016,10,V,2,2016,13.5,V,1,2015,11375,V,1,2016,10,V,1,2014,10.76,V,2,2016
13013094,10,V,2,2017,10.1,V,1,2018,10,V,1,2017,11875,V,1,2018,11,V,1,2019,10,V,2,2018,10496,V,2,2019,10,V,2,2016,10,V,2,2017,10,V,2,2017,10025,V,1,2017,10,V,2,2015,11,V,1,2014,10171,V,2,2017
13014984,12.25,V,1,2015,0,NRA,1,2019,10075,V,1,2018,0,NRA,1,2019,0,NRA,1,2019,2,NRA,1,2019,4054,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,14.7,V,1,2018,13,V,1,2017,4617,NV,2,2019
14000306,10.75,V,1,2018,10199,V,1,2018,10075,V,1,2017,12.5,V,1,2017,10,V,2,2018,10,V,2,2018,10587,V,2,2018,10,V,1,2019,10009,V,1,2018,12.75,V,1,2018,10,V,2,2018,7,AC,2,2019,10,V,2,2015,9.96,AC,2,2019
14000415,10.75,V,1,2016,3.95,NRA,1,2019,10,V,1,2016,12506,V,1,2016,2,NRA,1,2019,10,V,2,2018,8201,NV,2,2019,10.5,V,1,2016,10,V,2,2015,10,V,2,2016,8,AC,2,2016,11.5,V,1,2016,10,V,2,2016,10,V,2,2016
14001641,13125,V,1,2018,7,AC,2,2018,14.75,V,1,2017,11.6,V,1,2018,11.55,V,1,2018,11,V,1,2016,11504,V,2,2018,10,V,1,2019,10,V,2,2018,13.33,V,1,2019,10,V,2,2018,12.15,V,1,2018,12.25,V,1,2018,11288,V,1,2019
14006142,10,V,2,2015,10,V,2,2018,10,V,1,2017,10,V,2,2018,10,V,2,2018,7.2,AC,2,2019,9533,AC,2,2019,11082,V,1,2017,10,V,2,2016,9,AC,2,2018,10,V,2,2018,10,V,2,2017,10,V,2,2016,10014,V,2,2018
