COD_ETU,Note : TLGE1104,Résultat : TLGE1104,Session : TLGE1104,Année : TLGE1104,Note : TLGE1204,Résultat : TLGE1204,Session : TLGE1204,Année : TLGE1204,Note : TLGE1304,Résultat : TLGE1304,Session : TLGE1304,Année : TLGE1304,Note : TLGE1404,Résultat : TLGE1404,Session : TLGE1404,Année : TLGE1404,Note : TLGE1504,Résultat : TLGE1504,Session : TLGE1504,Année : TLGE1504,Note : TLGE1604,Résultat : TLGE1604,Session : TLGE1604,Année : TLGE1604,Note : TLGE1004,Résultat : TLGE1004,Session : TLGE1004,Année : TLGE1004,Note : TLGE2104,Résultat : TLGE2104,Session : TLGE2104,Année : TLGE2104,Note : TLGE2204,Résultat : TLGE2204,Session : TLGE2204,Année : TLGE2204,Note : TLGE2304,Résultat : TLGE2304,Session : TLGE2304,Année : TLGE2304,Note : TLGE2404,Résultat : TLGE2404,Session : TLGE2404,Année : TLGE2404,Note : TLGE2504,Résultat : TLGE2504,Session : TLGE2504,Année : TLGE2504,Note : TLGE2604,Résultat : TLGE2604,Session : TLGE2604,Année : TLGE2604,Note : TLGE2004,Résultat : TLGE2004,Session : TLGE2004,Année : TLGE2004
14000545,10604,V,1,2015,10.4,V,1,2015,10,V,2,2014,8,AC,2,2015,11,V,1,2014,10,V,2,2014,10001,V,2,2019,13.5,V,1,2019,10,V,1,2014,10,V,1,2019,10,V,1,2016,10,V,2,2016,10,V,1,2014,10583,V,1,2019
15000649,10,V,2,2019,10.25,V,1,2019,9.75,AC,2,2019,10,V,2,2017,10,V,2,2015,10,V,1,2015,10,V,2,2019,7.75,AC,2,2019,10,V,2,2015,14,V,1,2019,10,V,2,2019,10,V,2,2016,10.25,V,1,2015,10333,V,2,2019
15000874,10,V,2,2018,10,V,2,2017,10,V,2,2016,11.4,V,1,2017,10,V,2,2017,11.5,V,1,2015,10483,V,1,2019,9.5,AC,2,2019,10,V,2,2017,7,AC,2,2019,12,V,1,2019,10,V,2,2017,11.75,V,1,2015,10042,V,2,2019
15001069,10911,V,1,2016,10,V,2,2017,10,V,2,2016,11.5,V,1,2017,11.5,V,1,2015,10,V,1,2015,10652,V,1,2019,10,V,2,2015,10,V,2,2015,7,AC,2,2019,11,V,1,2019,10,V,2,2015,15.5,V,1,2015,10583,V,2,2019
15001074,10,V,2,2019,10,V,2,2016,10,V,1,2019,10,V,2,2016,10,V,2,2015,10,V,2,2015,10,V,2,2019,10.3,V,1,2015,10,V,2,2015,10,V,2,2018,10,V,1,2016,10805,V,1,2015,12.5,V,1,2015,10601,V,1,2019
15001763,2.3,NRA,1,2019,10,V,2,2018,0,NRA,1,2019,10,V,2,2018,10,V,2,2015,12.5,V,1,2015,7467,NV,2,2019,10,V,2,2018,10,V,2,2016,12,V,1,2019,10.2,V,1,2018,8,AC,2,2019,14,V,1,2016,10.7,V,2,2019
15001773,10,V,2,2018,10.2,V,1,2016,10,V,2,2016,10,V,2,2016,10,V,1,2016,10.5,V,1,2015,10117,V,2,2018,10,V,2,2018,10,V,2,2016,20,V,1,2019,10,V,1,2016,10,V,2,2016,12.75,V,1,2015,12125,V,1,2019
15001977,8325,AC,2,2018,10,V,2,2018,10,V,2,2017,10,V,2,2017,10,V,2,2017,13.5,V,1,2015,10304,V,2,2019,10,V,2,2016,10,V,2,2016,18,V,1,2019,9,AC,2,2019,10,V,2,2017,12,V,1,2015,11.5,V,2,2019
15004538,9.5,AC,2,2018,10,V,2,2018,10,V,2,2017,10,V,2,2018,10,V,2,2017,13.25,V,1,2015,10458,V,2,2019,10,V,2,2018,10,V,2,2016,18,V,1,2019,14,V,1,2019,10,V,2,2016,12.25,V,1,2015,12375,V,1,2019
15004622,10,V,2,2015,10,V,2,2018,8.6,AC,2,2019,10,V,2,2016,10,V,1,2016,11.75,V,1,2015,10058,V,2,2019,10,V,2,2015,10.89,V,1,2016,8.95,AC,2,2017,10.1,V,1,2016,10,V,2,2015,14.75,V,1,2015,10782,V,2,2019
15005607,10,V,2,2018,13,V,1,2018,10,V,2,2018,8,AC,2,2019,10,V,1,2015,10.75,V,1,2015,10292,V,2,2019,10,V,1,2019,12,V,1,2019,14,V,1,2019,14,V,1,2019,14,V,1,2019,13,V,1,2015,12833,V,1,2019
15005614,2,NRA,1,2019,10,V,2,2018,10,V,1,2015,0,NRA,1,2019,10,V,1,2015,10,V,1,2015,7,NV,2,2019,10,V,2,2015,10,V,2,2015,0,NV,2,2019,0,NV,2,2019,10543,V,1,2015,12.5,V,1,2015,7174,NV,2,2019
15005797,8.5,AC,2,2019,10,V,1,2017,10,V,2,2017,10,V,2,2018,10,V,2,2017,11.5,V,1,2015,10,V,2,2019,10,V,2,2018,10,V,2,2018,14,V,1,2019,14,V,1,2019,11,V,1,2019,13.5,V,1,2015,12083,V,1,2019
16000611,10,V,2,2018,10,V,2,2017,10,V,2,2017,10,V,2,2018,10,V,2,2017,10,V,1,2016,10,V,1,2019,10,V,2,2018,10,V,2,2018,14,V,1,2019,10,V,2,2018,13,V,1,2019,11.5,V,1,2016,11417,V,1,2019
16000658,3963,NRA,1,2019,10,V,2,2016,10,V,2,2016,10,V,2,2017,10,V,2,2017,12.5,V,1,2016,9411,NV,2,2019,13.5,V,1,2019,10,V,1,2016,10,V,2,2017,10.6,V,1,2016,11,V,1,2019,11875,V,1,2016,11163,V,1,2019
16000701,7,AC,2,2017,10,V,2,2017,10,V,2,2017,12.4,V,1,2017,15.25,V,1,2017,12125,V,1,2016,11129,V,2,2019,10,V,2,2017,10,V,2,2018,14,V,1,2019,16,V,1,2019,10,V,2,2017,13.5,V,1,2016,12.25,V,1,2019
16000747,2,NRA,1,2019,10,V,2,2017,0,NRA,1,2019,11.5,V,1,2017,13.75,V,1,2017,12375,V,1,2016,8271,NV,2,2019,0,NV,2,2019,10,V,2,2017,0,NV,2,2019,0,NV,2,2019,10,V,2,2017,13625,V,1,2016,5604,NV,2,2019
16000792,2.5,NRA,1,2019,10.6,V,1,2016,0,NRA,1,2019,1.6,NRA,1,2019,0,NRA,1,2019,10,V,2,2016,4117,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019
16001237,10008,V,1,2019,10.75,V,1,2018,10,V,2,2017,10,V,1,2019,10.75,V,1,2017,14.25,V,1,2016,10.96,V,1,2019,9.5,AC,2,2019,10,V,1,2016,10.05,V,1,2018,10,V,1,2017,10.28,V,1,2017,12.75,V,1,2016,10.43,V,2,2019
16001403,10,V,2,2019,2.5,NRA,1,2019,8,NV,2,2019,10,V,2,2018,14,V,1,2017,10,V,2,2016,9083,NV,2,2019,10,V,2,2018,10,V,2,2017,14,V,1,2019,13,V,1,2019,10002,V,1,2018,10,V,2,2018,11167,V,1,2019
16001542,9,AC,2,2017,10.2,V,1,2017,10,V,2,2017,13.7,V,1,2017,15,V,1,2017,12,V,1,2016,11.65,V,2,2019,0,NV,2,2019,10.15,V,1,2017,0,NV,2,2019,10.15,V,1,2018,0,NV,2,2019,12.75,V,1,2016,5508,NV,2,2019
16001637,2.8,NRA,1,2019,10,V,2,2018,10,V,2,2018,10,V,2,2017,10,V,2,2018,10,V,2,2016,8.8,NV,2,2019,10,V,2,2018,10,V,2,2016,20,V,1,2019,10,V,2,2018,12,V,1,2019,0,NV,2,2019,10333,NV,2,2019
16001787,7.2,AC,2,2018,10,V,2,2018,10,V,2,2017,12.3,V,1,2017,10,V,1,2016,10.5,V,1,2016,10,V,2,2019,10,V,2,2018,10,V,1,2016,0,NV,2,2019,10,V,2,2018,10,V,2,2016,12125,V,1,2016,8688,NV,2,2019
16001814,10358,V,1,2019,10,V,2,2018,8.5,AC,2,2019,10.2,V,1,2016,10,V,2,2016,12.25,V,1,2016,10218,V,2,2019,13.5,V,1,2019,10,V,2,2017,18,V,1,2019,10,V,1,2019,10,V,2,2017,10,V,2,2017,11917,V,1,2019
16001824,2,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,10,V,2,2017,13,V,1,2016,4167,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,14,V,1,2016,2333,NV,2,2019
16001835,10325,V,1,2018,10,V,2,2017,10,V,1,2019,10,V,2,2016,10,V,2,2018,10.5,V,1,2016,10138,V,1,2019,10,V,2,2018,10.3,V,1,2018,10,V,1,2019,10,V,2,2018,11338,V,1,2018,10,V,2,2016,10273,V,1,2019
16001861,11598,V,1,2019,13.3,V,1,2016,11.8,V,1,2019,10,V,2,2016,10,V,1,2018,10,V,2,2016,11116,V,1,2019,10,V,2,2018,10,V,2,2018,0,NV,2,2019,10,V,2,2017,10,V,2,2016,10,V,2,2018,8333,NV,2,2019
16001867,10,V,2,2018,10,V,2,2017,10,V,2,2017,10,V,2,2016,10,V,2,2017,10,V,1,2016,10,V,2,2018,10,V,2,2018,10025,V,1,2017,10,V,2,2017,14,V,1,2019,10775,V,1,2018,10,V,2,2016,10.8,V,1,2019
16001876,10,V,2,2019,10,V,1,2019,10,V,2,2018,10,V,2,2019,10.25,V,1,2016,10,V,2,2016,10042,V,2,2019,12.5,V,1,2019,10,V,2,2016,9,AC,2,2019,11,V,1,2019,18,V,1,2019,12.5,V,1,2016,12167,V,2,2019
