COD_ETU,Note : TLMI2104,Résultat : TLMI2104,Session : TLMI2104,Année : TLMI2104,Note : TLMI2204,Résultat : TLMI2204,Session : TLMI2204,Année : TLMI2204,Note : TLMI2304,Résultat : TLMI2304,Session : TLMI2304,Année : TLMI2304,Note : TLMI2404,Résultat : TLMI2404,Session : TLMI2404,Année : TLMI2404,Note : TLMI2504,Résultat : TLMI2504,Session : TLMI2504,Année : TLMI2504,Note : TLMI2604,Résultat : TLMI2604,Session : TLMI2604,Année : TLMI2604,Note : TLMI2004,Résultat : TLMI2004,Session : TLMI2004,Année : TLMI2004,Note : TLMI1104,Résultat : TLMI1104,Session : TLMI1104,Année : TLMI1104,Note : TLMI1204,Résultat : TLMI1204,Session : TLMI1204,Année : TLMI1204,Note : TLMI1304,Résultat : TLMI1304,Session : TLMI1304,Année : TLMI1304,Note : TLMI1404,Résultat : TLMI1404,Session : TLMI1404,Année : TLMI1404,Note : TLMI1504,Résultat : TLMI1504,Session : TLMI1504,Année : TLMI1504,Note : TLMI1604,Résultat : TLMI1604,Session : TLMI1604,Année : TLMI1604,Note : TLMI1004,Résultat : TLMI1004,Session : TLMI1004,Année : TLMI1004
16000603,10,V,2,2016,10,V,2,2017,15,V,1,2019,10,V,2,2017,10,V,2,2017,10875,V,1,2016,10979,V,1,2019,8.8,AC,2,2017,10,V,2,2017,11.5,V,1,2017,10,V,2,2017,14.5,V,1,2017,10,V,1,2016,10.8,V,2,2017
16000636,10.3,V,1,2016,10,V,1,2017,10.5,V,1,2019,10.25,V,1,2017,10,V,2,2019,10375,V,1,2016,10238,V,2,2019,10,V,1,2019,10,V,2,2019,10,V,1,2018,10,V,2,2018,10,V,2,2018,12.5,V,1,2017,10417,V,2,2019
16000970,12975,V,1,2018,10,V,2,2017,10,V,2,2019,10,V,2,2017,10,V,1,2018,10.75,V,1,2016,10621,V,2,2019,10.75,V,1,2017,10,V,2,2017,10,V,1,2018,11,V,1,2017,11.75,V,1,2016,10,V,1,2016,10583,V,1,2018
16001090,10.2,V,1,2016,10,V,2,2017,11,V,1,2019,10,V,2,2016,7,AC,2,2019,14.25,V,1,2016,10408,V,2,2019,12.55,V,1,2017,10,V,1,2017,11.4,V,1,2017,7.35,AC,2,2017,10,V,1,2016,11,V,1,2016,10383,V,2,2017
16001233,16.6,V,1,2019,10.5,V,1,2019,12,V,1,2019,10,V,1,2018,14,V,1,2019,10875,V,1,2016,12329,V,1,2019,8.2,AC,2,2019,10,V,2,2017,10,V,2,2017,7.4,AC,2,2019,14,V,1,2016,10.75,V,1,2016,10058,V,2,2019
16001288,10,V,2,2016,10,V,2,2018,12.5,V,1,2019,10.4,V,1,2017,10.05,V,1,2018,10375,V,1,2016,10554,V,1,2019,10025,V,1,2017,10,V,2,2017,10,V,2,2017,10,V,2,2017,10,V,2,2016,10.25,V,1,2016,10046,V,2,2017
16001328,10.3,V,1,2016,10,V,2,2019,15,V,1,2019,10.3,V,1,2017,10,V,1,2019,10.75,V,1,2016,11058,V,2,2019,11.95,V,1,2017,2625,NRA,1,2019,1.2,NRA,1,2019,10,V,2,2017,10,V,2,2016,10,V,1,2016,7629,NV,2,2019
16001358,11.9,V,1,2018,10,V,2,2018,10,V,1,2016,10.1,V,1,2017,10,V,1,2019,10.5,V,1,2019,10417,V,1,2019,10.25,V,1,2016,10,V,2,2018,11.4,V,1,2016,10,V,2,2017,10,V,2,2016,10,V,2,2016,10275,V,2,2018
16001447,10,V,1,2016,10,V,2,2016,10,V,2,2019,10,V,2,2016,10,V,2,2019,10,V,1,2016,10,V,2,2019,10,V,2,2017,10,V,2,2016,8,AC,2,2018,14.7,V,1,2018,10,V,2,2016,12.5,V,1,2016,10867,V,2,2018
16001529,10,V,2,2018,10.15,V,1,2017,12,V,1,2019,13.5,V,1,2019,10008,V,1,2018,10,V,2,2016,10943,V,1,2019,8.25,AC,2,2019,10.75,V,1,2019,10,V,2,2019,10,V,2,2016,10,V,2,2016,12,V,1,2016,10167,V,2,2019
