COD_ETU,Note : TLMP3104,Résultat : TLMP3104,Session : TLMP3104,Année : TLMP3104,Note : TLMP3204,Résultat : TLMP3204,Session : TLMP3204,Année : TLMP3204,Note : TLMP3304,Résultat : TLMP3304,Session : TLMP3304,Année : TLMP3304,Note : TLMP3404,Résultat : TLMP3404,Session : TLMP3404,Année : TLMP3404,Note : TLMP3504,Résultat : TLMP3504,Session : TLMP3504,Année : TLMP3504,Note : TLMP3604,Résultat : TLMP3604,Session : TLMP3604,Année : TLMP3604,Note : TLMP3004,Résultat : TLMP3004,Session : TLMP3004,Année : TLMP3004,Note : TLMP4104,Résultat : TLMP4104,Session : TLMP4104,Année : TLMP4104,Note : TLMP4204,Résultat : TLMP4204,Session : TLMP4204,Année : TLMP4204,Note : TLMP4304,Résultat : TLMP4304,Session : TLMP4304,Année : TLMP4304,Note : TLMP4404,Résultat : TLMP4404,Session : TLMP4404,Année : TLMP4404,Note : TLMP4504,Résultat : TLMP4504,Session : TLMP4504,Année : TLMP4504,Note : TLMP4604,Résultat : TLMP4604,Session : TLMP4604,Année : TLMP4604,Note : TLMP4004,Résultat : TLMP4004,Session : TLMP4004,Année : TLMP4004
12012705,10,V,2,2014,11,V,1,2013,,,,,11,V,2,2013,14.4,V,1,2012,,,,,10,V,2,2014,.5,NV,2,2019,10,V,2,2019,10,V,2,2019,10,V,2,2019,8,AC,2,2014,8,AC,2,2014,7.75,NV,2,2019
13011344,10,V,2,2018,7.4,AC,2,2018,10,V,2,2018,10,V,2,2016,10,V,2,2016,12625,V,1,2015,10004,V,2,2018,7.5,AC,2,2019,10.6,V,1,2015,10,V,2,2018,10,V,1,2019,11.8,V,1,2016,10,V,2,2017,9983,AC,2,2019
13015044,10,V,2,2015,8,AC,2,2017,10,V,2,2017,12,V,1,2016,10,V,2,2013,10,V,1,2016,10,V,2,2017,7.25,AC,2,2019,10.6,V,1,2016,10,V,2,2015,10,V,2,2019,10,V,2,2017,10,V,2,2015,9642,AC,2,2019
14000175,10,V,2,2018,7,AC,2,2019,10,V,2,2017,11375,V,1,2016,10,V,2,2017,10625,V,1,2015,9833,AC,2,2019,10,V,2,2017,10.7,V,1,2016,10,V,2,2017,10,V,2,2016,10.85,V,1,2015,11,V,1,2016,10425,V,2,2017
14000627,10,V,2,2018,10,V,2,2018,11.8,V,1,2017,12,V,1,2016,10.9,V,1,2018,10,V,1,2017,10783,V,2,2018,8.5,AC,2,2019,10,V,2,2019,14,V,1,2019,10,V,2,2019,11.1,V,1,2018,16,V,1,2019,11.6,V,2,2019
14004740,10,V,2,2019,0,NRA,1,2019,10,V,2,2019,10.8,V,1,2018,8,NV,2,2019,10,V,1,2016,8133,NV,2,2019,8.5,AC,2,2019,7,AC,2,2019,14.4,V,1,2018,10,V,1,2018,10,V,2,2017,12,V,1,2019,10317,V,2,2019
14005265,10,V,2,2018,7.4,AC,2,2019,10,V,2,2017,15.25,V,1,2015,7,AC,2,2019,10625,V,1,2015,10046,V,2,2019,12.75,V,1,2019,10,V,1,2018,12,V,1,2019,10,V,2,2019,12,V,1,2019,11,V,1,2019,11292,V,2,2019
14006139,10,V,2,2018,10,V,1,2019,10,V,2,2018,10,V,2,2018,10,V,2,2018,10.5,V,1,2016,10083,V,1,2019,8.5,AC,2,2019,10.85,V,1,2018,14,V,1,2019,10,V,2,2019,12.5,V,1,2019,10,V,2,2018,10975,V,2,2019
14006708,2,NRA,1,2019,1.6,NRA,1,2019,1.9,NRA,1,2019,10,V,2,2018,2.25,NRA,1,2019,10,V,2,2018,4625,NV,2,2019,9,AC,2,2019,10,V,2,2019,16,V,1,2019,9,AC,2,2019,10,V,2,2019,10,V,2,2019,10667,V,2,2019
15000193,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,10,V,2,2016,10,V,2,2016,14.5,V,1,2016,5.75,NV,2,2019,0,NV,2,2019,0,NV,2,2019,,,,,,,,,0,NV,2,2019,0,NV,2,2019,,,1,2019
