COD_ETU;Note : TLMI3104;Résultat : TLMI3104;Session : TLMI3104;Année : TLMI3104;Filière;Année;Module;Semestre
16000233;10;V  ;2;2019;MIP;2019;TLMI3104;S3
16000322;7.5;AC ;2;2019;MIP;2019;TLMI3104;S3
16000386;0;NRA;1;2019;MIP;2019;TLMI3104;S3
16000603;4.2;NRA;1;2019;MIP;2019;TLMI3104;S3
16000636;3.8;NRA;1;2019;MIP;2019;TLMI3104;S3
16000831;10;V  ;2;2019;MIP;2019;TLMI3104;S3
16000862;0;NRA;1;2019;MIP;2019;TLMI3104;S3
16000866;10.1;V  ;1;2018;MIP;2019;TLMI3104;S3
16000970;11.8;V  ;1;2019;MIP;2019;TLMI3104;S3
16001078;8;AC ;2;2019;MIP;2019;TLMI3104;S3
16001082;0;NRA;1;2019;MIP;2019;TLMI3104;S3
16001090;10;V  ;2;2019;MIP;2019;TLMI3104;S3
16001153;0;NRA;1;2019;MIP;2019;TLMI3104;S3
16001233;;;;;MIP;2019;TLMI3104;S3
16001288;11.7;V  ;1;2019;MIP;2019;TLMI3104;S3
16001328;2.8;NRA;1;2019;MIP;2019;TLMI3104;S3
16001346;8.8;AC ;2;2019;MIP;2019;TLMI3104;S3
16001358;10.9;V  ;1;2019;MIP;2019;TLMI3104;S3
16001418;10;V  ;2;2019;MIP;2019;TLMI3104;S3
16001447;13.4;V  ;1;2018;MIP;2019;TLMI3104;S3
16001455;9.1;AC ;2;2018;MIP;2019;TLMI3104;S3
16001511;10;V  ;2;2018;MIP;2019;TLMI3104;S3
16001529;4.2;NRA;1;2019;MIP;2019;TLMI3104;S3
16001661;0;NRA;1;2019;MIP;2019;TLMI3104;S3
16001899;10;V  ;2;2019;MIP;2019;TLMI3104;S3
16001999;2.8;NRA;1;2019;MIP;2019;TLMI3104;S3
16002056;4;NRA;1;2019;MIP;2019;TLMI3104;S3
16003729;7.5;AC ;2;2018;MIP;2019;TLMI3104;S3
16004163;4.8;NRA;1;2019;MIP;2019;TLMI3104;S3
16005397;;;;;MIP;2019;TLMI3104;S3
16005554;;;;;MIP;2019;TLMI3104;S3
17000924;3.6;NRA;1;2019;MIP;2019;TLMI3104;S3
17001986;8.2;AC ;2;2019;MIP;2019;TLMI3104;S3
17002059;2.9;NRA;1;2019;MIP;2019;TLMI3104;S3
17002180;10.8;V  ;1;2019;MIP;2019;TLMI3104;S3
17002457;;;;;MIP;2019;TLMI3104;S3
17004263;10;V  ;2;2018;MIP;2019;TLMI3104;S3
17004774;1.7;NRA;1;2019;MIP;2019;TLMI3104;S3
17004781;8.3;AC ;2;2019;MIP;2019;TLMI3104;S3
17005128;9.1;AC ;2;2019;MIP;2019;TLMI3104;S3
17005358;11.8;V  ;1;2019;MIP;2019;TLMI3104;S3
17005517;7;AC ;2;2019;MIP;2019;TLMI3104;S3
17005562;7;AC ;2;2019;MIP;2019;TLMI3104;S3
17005726;3.5;NRA;1;2019;MIP;2019;TLMI3104;S3
17005751;4.2;NRA;1;2019;MIP;2019;TLMI3104;S3
17005961;8.5;AC ;2;2019;MIP;2019;TLMI3104;S3
17005966;0;NRA;1;2019;MIP;2019;TLMI3104;S3
17005967;11.2;V  ;1;2019;MIP;2019;TLMI3104;S3
17005992;7;AC ;2;2019;MIP;2019;TLMI3104;S3
17006009;;;;;MIP;2019;TLMI3104;S3
17006032;10.1;V  ;1;2019;MIP;2019;TLMI3104;S3
17006145;10;V  ;2;2019;MIP;2019;TLMI3104;S3
17006167;8.2;AC ;2;2019;MIP;2019;TLMI3104;S3
17006189;9.6;AC ;2;2019;MIP;2019;TLMI3104;S3
17006191;9.2;AC ;2;2019;MIP;2019;TLMI3104;S3
17006196;;;;;MIP;2019;TLMI3104;S3
17006197;0;NRA;1;2019;MIP;2019;TLMI3104;S3
17006200;4.7;NRA;1;2019;MIP;2019;TLMI3104;S3
17006271;3.6;NRA;1;2019;MIP;2019;TLMI3104;S3
17006279;7;AC ;2;2019;MIP;2019;TLMI3104;S3
17006281;8;AC ;2;2019;MIP;2019;TLMI3104;S3
17006283;;;;;MIP;2019;TLMI3104;S3
17006290;10;V  ;2;2018;MIP;2019;TLMI3104;S3
17006296;7;AC ;2;2019;MIP;2019;TLMI3104;S3
17006299;7;AC ;2;2019;MIP;2019;TLMI3104;S3
17006302;10;V  ;2;2018;MIP;2019;TLMI3104;S3
17006307;10;V  ;2;2019;MIP;2019;TLMI3104;S3
17006316;2.8;NRA;1;2019;MIP;2019;TLMI3104;S3
17006323;8.8;AC ;2;2019;MIP;2019;TLMI3104;S3
17006327;8.6;NV ;2;2019;MIP;2019;TLMI3104;S3
17006334;8.6;AC ;2;2019;MIP;2019;TLMI3104;S3
17006339;4.2;NRA;1;2019;MIP;2019;TLMI3104;S3
17006343;14;V  ;1;2019;MIP;2019;TLMI3104;S3
17006344;9.4;AC ;2;2019;MIP;2019;TLMI3104;S3
17006345;;;;;MIP;2019;TLMI3104;S3
17006348;7.3;AC ;2;2019;MIP;2019;TLMI3104;S3
17006351;4.2;NRA;1;2019;MIP;2019;TLMI3104;S3
17006381;10;V  ;2;2019;MIP;2019;TLMI3104;S3
17006390;7;NV ;2;2019;MIP;2019;TLMI3104;S3
17006394;3;NRA;1;2019;MIP;2019;TLMI3104;S3
17006397;7;AC ;2;2019;MIP;2019;TLMI3104;S3
17006399;2.4;NRA;1;2019;MIP;2019;TLMI3104;S3
17006401;;;;;MIP;2019;TLMI3104;S3
17006404;10.2;V  ;1;2019;MIP;2019;TLMI3104;S3
17006411;10;V  ;1;2019;MIP;2019;TLMI3104;S3
17006417;14;V  ;1;2019;MIP;2019;TLMI3104;S3
17006419;;;;;MIP;2019;TLMI3104;S3
17006427;4.2;NRA;1;2019;MIP;2019;TLMI3104;S3
17006430;10.9;V  ;1;2019;MIP;2019;TLMI3104;S3
17006436;13.2;V  ;1;2019;MIP;2019;TLMI3104;S3
17006442;10;V  ;2;2019;MIP;2019;TLMI3104;S3
17006472;10;V  ;2;2019;MIP;2019;TLMI3104;S3
17006476;10;V  ;2;2019;MIP;2019;TLMI3104;S3
17006483;9;AC ;2;2019;MIP;2019;TLMI3104;S3
17006503;9.2;NV ;2;2019;MIP;2019;TLMI3104;S3
17006514;3.6;NRA;1;2019;MIP;2019;TLMI3104;S3
17006516;10;V  ;2;2018;MIP;2019;TLMI3104;S3
