COD_ETU;Note : TLMP1104;RÃ©sultat : TLMP1104;Session : TLMP1104;AnnÃ©e : TLMP1104;Filière;Année;Module;Semestre
15000193;0;NRA;1;2019;MIPC;2019;TLMP1104;S1
15000272;12.1;V  ;1;2017;MIPC;2019;TLMP1104;S1
15002395;0;NRA;1;2019;MIPC;2019;TLMP1104;S1
15003217;10;V  ;1;2016;MIPC;2019;TLMP1104;S1
15003319;10;V  ;2;2016;MIPC;2019;TLMP1104;S1
15005352;0;NRA;1;2019;MIPC;2019;TLMP1104;S1
15005628;7.1;AC ;2;2017;MIPC;2019;TLMP1104;S1
15005660;10;V  ;2;2016;MIPC;2019;TLMP1104;S1
15006164;10;V  ;2;2018;MIPC;2019;TLMP1104;S1
16000511;10;V  ;1;2019;MIPC;2019;TLMP1104;S1
16000767;10.2;V  ;1;2017;MIPC;2019;TLMP1104;S1
16000909;10;V  ;2;2018;MIPC;2019;TLMP1104;S1
16000914;10.3;V  ;1;2017;MIPC;2019;TLMP1104;S1
16001125;7;AC ;2;2017;MIPC;2019;TLMP1104;S1
16002215;10.1;V  ;1;2018;MIPC;2019;TLMP1104;S1
16004528;10;V  ;1;2019;MIPC;2019;TLMP1104;S1
16007410;10;V  ;1;2018;MIPC;2019;TLMP1104;S1
17001640;10;V  ;2;2017;MIPC;2019;TLMP1104;S1
17002476;10;V  ;2;2018;MIPC;2019;TLMP1104;S1
17003807;0;NRA;1;2019;MIPC;2019;TLMP1104;S1
17004863;10,025;V  ;1;2018;MIPC;2019;TLMP1104;S1
17005077;10.1;V  ;1;2017;MIPC;2019;TLMP1104;S1
17005156;10.4;V  ;1;2017;MIPC;2019;TLMP1104;S1
17005207;10.1;V  ;1;2019;MIPC;2019;TLMP1104;S1
17005240;0;NRA;1;2019;MIPC;2019;TLMP1104;S1
17005366;8.5;AC ;2;2017;MIPC;2019;TLMP1104;S1
17005380;0;NRA;1;2019;MIPC;2019;TLMP1104;S1
17005456;10;V  ;1;2019;MIPC;2019;TLMP1104;S1
17005525;10;V  ;1;2019;MIPC;2019;TLMP1104;S1
17005557;7;AC ;2;2018;MIPC;2019;TLMP1104;S1
17005569;7;AC ;2;2017;MIPC;2019;TLMP1104;S1
17005575;7.7;AC ;2;2018;MIPC;2019;TLMP1104;S1
17005609;10.1;V  ;1;2018;MIPC;2019;TLMP1104;S1
17005611;10;V  ;1;2019;MIPC;2019;TLMP1104;S1
17005612;0;NRA;1;2019;MIPC;2019;TLMP1104;S1
17005644;10.2;V  ;1;2018;MIPC;2019;TLMP1104;S1
17005655;11.7;V  ;1;2018;MIPC;2019;TLMP1104;S1
17005657;10;V  ;1;2018;MIPC;2019;TLMP1104;S1
17005679;7;AC ;2;2017;MIPC;2019;TLMP1104;S1
17005695;10;V  ;2;2018;MIPC;2019;TLMP1104;S1
17005770;10.1;V  ;1;2019;MIPC;2019;TLMP1104;S1
17005772;13.4;V  ;1;2018;MIPC;2019;TLMP1104;S1
17005780;0;NRA;1;2019;MIPC;2019;TLMP1104;S1
17005786;12;V  ;1;2018;MIPC;2019;TLMP1104;S1
17005810;10;V  ;2;2018;MIPC;2019;TLMP1104;S1
17005824;10;V  ;1;2019;MIPC;2019;TLMP1104;S1
17005877;10;V  ;1;2019;MIPC;2019;TLMP1104;S1
17005937;10.1;V  ;1;2019;MIPC;2019;TLMP1104;S1
17006040;12.3;V  ;1;2018;MIPC;2019;TLMP1104;S1
17006767;10.3;V  ;1;2018;MIPC;2019;TLMP1104;S1
17007320;10.1;V  ;1;2019;MIPC;2019;TLMP1104;S1
17007757;10;V  ;2;2018;MIPC;2019;TLMP1104;S1
17007758;10.1;V  ;1;2019;MIPC;2019;TLMP1104;S1
17007981;10.1;V  ;1;2019;MIPC;2019;TLMP1104;S1
17011572;10;V  ;1;2018;MIPC;2019;TLMP1104;S1
18000631;17.5;V  ;1;2018;MIPC;2019;TLMP1104;S1
18002553;7;AC ;2;2018;MIPC;2019;TLMP1104;S1
18002570;10;V  ;2;2018;MIPC;2019;TLMP1104;S1
18002599;12.5;V  ;1;2018;MIPC;2019;TLMP1104;S1
18002618;10,025;V  ;1;2018;MIPC;2019;TLMP1104;S1
18002622;5.2;NV ;2;2019;MIPC;2019;TLMP1104;S1
18002648;10.3;V  ;1;2018;MIPC;2019;TLMP1104;S1
18002651;10.1;V  ;1;2019;MIPC;2019;TLMP1104;S1
18002661;17.4;V  ;1;2018;MIPC;2019;TLMP1104;S1
18002663;0;NRA;1;2019;MIPC;2019;TLMP1104;S1
18002675;0;NRA;1;2019;MIPC;2019;TLMP1104;S1
18002678;10;V  ;1;2019;MIPC;2019;TLMP1104;S1
18002680;7.8;AC ;2;2018;MIPC;2019;TLMP1104;S1
18002689;10.2;V  ;1;2019;MIPC;2019;TLMP1104;S1
