COD_ETU;Note : TLMP3504;Résultat : TLMP3504;Session : TLMP3504;Année : TLMP3504;Filière;Année;Module;Semestre
12012705;14.4;V  ;1;2012;MIPC;2019;TLMP3504;S3
13011344;10;V  ;2;2016;MIPC;2019;TLMP3504;S3
13015044;10;V  ;2;2013;MIPC;2019;TLMP3504;S3
14000175;10;V  ;2;2017;MIPC;2019;TLMP3504;S3
14000627;10.9;V  ;1;2018;MIPC;2019;TLMP3504;S3
14004740;8;NV ;2;2019;MIPC;2019;TLMP3504;S3
14005265;7;AC ;2;2019;MIPC;2019;TLMP3504;S3
14006139;10;V  ;2;2018;MIPC;2019;TLMP3504;S3
14006708;2.2;NRA;1;2019;MIPC;2019;TLMP3504;S3
15000193;10;V  ;2;2016;MIPC;2019;TLMP3504;S3
15000261;10;V  ;2;2017;MIPC;2019;TLMP3504;S3
15000262;10;V  ;2;2017;MIPC;2019;TLMP3504;S3
15000272;12.8;V  ;1;2018;MIPC;2019;TLMP3504;S3
15000304;0;NRA;1;2019;MIPC;2019;TLMP3504;S3
15000339;10.8;V  ;1;2017;MIPC;2019;TLMP3504;S3
15000862;13.8;V  ;1;2017;MIPC;2019;TLMP3504;S3
15001042;0;NRA;1;2019;MIPC;2019;TLMP3504;S3
15001093;9.1;AC ;2;2016;MIPC;2019;TLMP3504;S3
15001403;10.1;V  ;1;2018;MIPC;2019;TLMP3504;S3
15001753;10;V  ;2;2017;MIPC;2019;TLMP3504;S3
15002395;0;NRA;1;2019;MIPC;2019;TLMP3504;S3
15002444;10;V  ;2;2018;MIPC;2019;TLMP3504;S3
15002547;0;NRA;1;2019;MIPC;2019;TLMP3504;S3
15003217;10;V  ;1;2017;MIPC;2019;TLMP3504;S3
15003319;10;V  ;1;2018;MIPC;2019;TLMP3504;S3
15004360;10.1;V  ;1;2018;MIPC;2019;TLMP3504;S3
15005352;11.6;V  ;1;2017;MIPC;2019;TLMP3504;S3
15005628;2;NRA;1;2019;MIPC;2019;TLMP3504;S3
15005660;10;V  ;2;2018;MIPC;2019;TLMP3504;S3
15006164;9312;NV ;2;2019;MIPC;2019;TLMP3504;S3
15006442;7.4;AC ;2;2018;MIPC;2019;TLMP3504;S3
16000070;12888;V  ;1;2019;MIPC;2019;TLMP3504;S3
16000138;10208;V  ;1;2019;MIPC;2019;TLMP3504;S3
16000437;10.6;V  ;1;2017;MIPC;2019;TLMP3504;S3
16000468;10;V  ;2;2018;MIPC;2019;TLMP3504;S3
16000511;6.8;NV ;2;2019;MIPC;2019;TLMP3504;S3
16000690;12.6;V  ;1;2018;MIPC;2019;TLMP3504;S3
16000707;11.4;V  ;1;2018;MIPC;2019;TLMP3504;S3
16000767;0;NRA;1;2019;MIPC;2019;TLMP3504;S3
16000775;10;V  ;1;2018;MIPC;2019;TLMP3504;S3
16000800;10;V  ;2;2017;MIPC;2019;TLMP3504;S3
16000863;12162;V  ;1;2019;MIPC;2019;TLMP3504;S3
16000869;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
16000880;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
16000888;9.4;AC ;2;2018;MIPC;2019;TLMP3504;S3
16000909;10576;V  ;1;2019;MIPC;2019;TLMP3504;S3
16000914;2926;NRA;1;2019;MIPC;2019;TLMP3504;S3
16000924;10;V  ;2;2018;MIPC;2019;TLMP3504;S3
16000937;11.8;V  ;1;2019;MIPC;2019;TLMP3504;S3
16000956;10.6;V  ;1;2018;MIPC;2019;TLMP3504;S3
16001125;8.1;NV ;2;2019;MIPC;2019;TLMP3504;S3
16001272;10;V  ;2;2018;MIPC;2019;TLMP3504;S3
16001976;0;NRA;1;2019;MIPC;2019;TLMP3504;S3
16002010;7.1;AC ;2;2019;MIPC;2019;TLMP3504;S3
16002017;7.6;AC ;2;2018;MIPC;2019;TLMP3504;S3
16002030;10.8;V  ;1;2018;MIPC;2019;TLMP3504;S3
16002204;10.2;V  ;1;2018;MIPC;2019;TLMP3504;S3
16002213;10;V  ;2;2018;MIPC;2019;TLMP3504;S3
16002215;6;NV ;2;2019;MIPC;2019;TLMP3504;S3
16002217;12;V  ;1;2019;MIPC;2019;TLMP3504;S3
16002643;10;V  ;2;2018;MIPC;2019;TLMP3504;S3
16003433;7288;NV ;2;2019;MIPC;2019;TLMP3504;S3
16004528;;;;;MIPC;2019;TLMP3504;S3
16007410;4088;NRA;1;2019;MIPC;2019;TLMP3504;S3
16007485;10;V  ;2;2017;MIPC;2019;TLMP3504;S3
16008484;0;NRA;1;2019;MIPC;2019;TLMP3504;S3
17001640;9176;NV ;2;2019;MIPC;2019;TLMP3504;S3
17001680;9812;AC ;2;2019;MIPC;2019;TLMP3504;S3
17002476;11018;V  ;1;2019;MIPC;2019;TLMP3504;S3
17002808;10034;V  ;1;2019;MIPC;2019;TLMP3504;S3
17003807;;;;;MIPC;2019;TLMP3504;S3
17004014;13268;V  ;1;2019;MIPC;2019;TLMP3504;S3
17004057;14.3;V  ;1;2019;MIPC;2019;TLMP3504;S3
17004805;14312;V  ;1;2019;MIPC;2019;TLMP3504;S3
17004819;15.2;V  ;1;2019;MIPC;2019;TLMP3504;S3
17004835;11.5;V  ;1;2018;MIPC;2019;TLMP3504;S3
17004863;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
17004916;12.2;V  ;1;2019;MIPC;2019;TLMP3504;S3
17004917;12.6;V  ;1;2018;MIPC;2019;TLMP3504;S3
17004920;10.5;V  ;1;2018;MIPC;2019;TLMP3504;S3
17004940;6876;NV ;2;2019;MIPC;2019;TLMP3504;S3
17004979;11862;V  ;1;2019;MIPC;2019;TLMP3504;S3
17005013;0;NRA;1;2019;MIPC;2019;TLMP3504;S3
17005077;11738;V  ;1;2019;MIPC;2019;TLMP3504;S3
17005087;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
17005115;10.8;V  ;1;2018;MIPC;2019;TLMP3504;S3
17005150;11776;V  ;1;2019;MIPC;2019;TLMP3504;S3
17005156;0;NRA;1;2019;MIPC;2019;TLMP3504;S3
17005186;10;V  ;2;2018;MIPC;2019;TLMP3504;S3
17005198;10;V  ;2;2018;MIPC;2019;TLMP3504;S3
17005207;0;NRA;1;2019;MIPC;2019;TLMP3504;S3
17005240;;;;;MIPC;2019;TLMP3504;S3
17005270;12.4;V  ;1;2018;MIPC;2019;TLMP3504;S3
17005328;12.8;V  ;1;2018;MIPC;2019;TLMP3504;S3
17005343;7.5;AC ;2;2019;MIPC;2019;TLMP3504;S3
17005345;13.4;V  ;1;2019;MIPC;2019;TLMP3504;S3
17005351;11037;V  ;1;2019;MIPC;2019;TLMP3504;S3
17005366;0;NRA;1;2019;MIPC;2019;TLMP3504;S3
17005372;10226;V  ;1;2019;MIPC;2019;TLMP3504;S3
17005380;0;NRA;1;2019;MIPC;2019;TLMP3504;S3
17005383;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
17005397;10.2;V  ;1;2018;MIPC;2019;TLMP3504;S3
17005398;10;V  ;1;2018;MIPC;2019;TLMP3504;S3
17005401;2362;NRA;1;2019;MIPC;2019;TLMP3504;S3
17005404;10;V  ;2;2018;MIPC;2019;TLMP3504;S3
17005406;11.6;V  ;1;2019;MIPC;2019;TLMP3504;S3
17005409;0;NRA;1;2019;MIPC;2019;TLMP3504;S3
17005413;10376;V  ;1;2019;MIPC;2019;TLMP3504;S3
17005437;9426;AC ;2;2019;MIPC;2019;TLMP3504;S3
17005440;10162;V  ;1;2019;MIPC;2019;TLMP3504;S3
17005441;7.5;AC ;2;2019;MIPC;2019;TLMP3504;S3
17005442;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
17005443;10.9;V  ;1;2018;MIPC;2019;TLMP3504;S3
17005446;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
17005447;3912;NRA;1;2019;MIPC;2019;TLMP3504;S3
17005452;11.5;V  ;1;2018;MIPC;2019;TLMP3504;S3
17005456;9.5;NV ;2;2019;MIPC;2019;TLMP3504;S3
17005457;13612;V  ;1;2019;MIPC;2019;TLMP3504;S3
17005459;11.2;V  ;1;2018;MIPC;2019;TLMP3504;S3
17005463;0;NRA;1;2019;MIPC;2019;TLMP3504;S3
17005471;10.1;V  ;1;2018;MIPC;2019;TLMP3504;S3
17005478;10;V  ;2;2018;MIPC;2019;TLMP3504;S3
17005525;1426;NRA;1;2019;MIPC;2019;TLMP3504;S3
17005530;13012;V  ;1;2019;MIPC;2019;TLMP3504;S3
17005539;8188;AC ;2;2019;MIPC;2019;TLMP3504;S3
17005541;11238;V  ;1;2019;MIPC;2019;TLMP3504;S3
17005543;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
