COD_ETU;Note : TLBC2104;RÃ©sultat : TLBC2104;Session : TLBC2104;AnnÃ©e : TLBC2104;Filiére;Année;module;Semestre
9007198;0;NRA;1;2014;BCG;2015;TLBC2104;S2
10048467;0;NRA;1;2014;BCG;2015;TLBC2104;S2
10048490;0;NRA;1;2014;BCG;2015;TLBC2104;S2
10048675;0;NRA;1;2014;BCG;2015;TLBC2104;S2
11010373;0;NRA;1;2014;BCG;2015;TLBC2104;S2
11011713;10;V  ;2;2014;BCG;2015;TLBC2104;S2
11012827;10;V  ;2;2014;BCG;2015;TLBC2104;S2
11013259;0;NRA;1;2014;BCG;2015;TLBC2104;S2
11013282;0;NRA;1;2014;BCG;2015;TLBC2104;S2
11013286;0;NRA;1;2014;BCG;2015;TLBC2104;S2
11013299;10;V  ;2;2014;BCG;2015;TLBC2104;S2
11013303;10;V  ;2;2013;BCG;2015;TLBC2104;S2
12005831;;;;;BCG;2015;TLBC2104;S2
12005967;0;NRA;1;2014;BCG;2015;TLBC2104;S2
12006095;10.5;V  ;1;2014;BCG;2015;TLBC2104;S2
12006411;0;NRA;1;2014;BCG;2015;TLBC2104;S2
12006494;10;V  ;2;2014;BCG;2015;TLBC2104;S2
12006858;0;NRA;1;2014;BCG;2015;TLBC2104;S2
12007338;0;NRA;1;2014;BCG;2015;TLBC2104;S2
12008132;8;NV ;2;2014;BCG;2015;TLBC2104;S2
12010910;10;V  ;2;2014;BCG;2015;TLBC2104;S2
12011050;11,938;V  ;1;2013;BCG;2015;TLBC2104;S2
12011067;10;V  ;1;2014;BCG;2015;TLBC2104;S2
12011093;0;NRA;1;2014;BCG;2015;TLBC2104;S2
12011098;8;NV ;2;2014;BCG;2015;TLBC2104;S2
12011115;10;V  ;2;2014;BCG;2015;TLBC2104;S2
12011128;0;NRA;1;2014;BCG;2015;TLBC2104;S2
12011130;0;NRA;1;2014;BCG;2015;TLBC2104;S2
12011135;10;V  ;2;2014;BCG;2015;TLBC2104;S2
12011138;0;NRA;1;2014;BCG;2015;TLBC2104;S2
